BE_DFT (kcal/mol)	BE_ANI (kcal/mol)	BE_PM7 (kcal/mol)
-3.13	-5.99	-0.96
-3.21	-9.52	0.16
-3.20	-9.12	-0.51
-2.10	-6.47	-0.81
-1.94	-7.76	-0.44
-4.17	-8.56	-1.20
-3.16	-8.64	-1.03
-4.17	-5.33	-1.34
-25.60	-17.68	-7.10
-4.31	-8.47	-0.31
-3.55	-7.88	-0.02
-3.13	-9.06	-0.47
-26.65	-7.88	0.42
-25.60	-17.85	-7.80
-25.60	-17.85	-7.77
-26.65	-19.62	-6.21
-26.65	-18.59	-7.23
-4.26	-9.28	-0.75
-3.16	-8.00	-0.24
-25.60	-17.85	-7.84
-25.43	-19.51	-5.89
-26.65	-18.50	-7.75
-25.60	-18.76	-6.38
-26.65	-20.16	-6.85
-25.60	-18.59	-6.98
-25.60	-17.65	-7.16
-26.65	-18.50	-6.67
-25.60	-20.01	-6.47
-3.55	-4.96	-0.49
-26.65	-19.51	-6.94
-25.60	-17.68	-7.70
-25.60	-17.65	-7.06
-4.32	-19.42	0.01
-4.14	-7.94	-0.90
-24.75	-8.21	-1.32
-25.60	-8.59	-0.61
-25.60	-19.62	-6.65
-26.65	-20.16	-7.76
-2.10	-6.74	-0.04
-25.60	-17.33	-5.83
-25.60	-11.01	-0.64
-3.55	-4.88	0.03
-4.14	-11.40	-0.11
-3.16	-8.64	-0.23
-26.65	-18.30	-6.31
-25.60	-19.62	-6.27
-25.60	-19.62	-6.13
-3.48	-9.15	-0.40
-26.65	-18.42	-6.40
-26.65	-17.75	-7.12
-25.60	-19.62	-5.93
-23.77	-5.92	-0.51
-3.21	-6.94	0.49
-26.65	-18.59	-7.85
-25.60	-6.91	-0.82
-3.48	-6.52	-1.39
-26.65	-19.42	-6.39
-4.32	-11.64	0.54
-26.65	-18.50	-7.62
-25.60	-17.65	-7.03
-25.60	-17.68	-7.03
-25.60	-19.62	-6.55
-25.60	-17.68	-7.72
-25.60	-18.76	-7.27
-4.17	-8.04	-0.69
-26.65	-19.51	-6.04
-4.17	-7.55	-0.62
-26.65	-18.50	-7.08
-25.60	-17.85	-7.48
-25.60	-18.93	-7.14
-26.65	-18.59	-7.33
-25.60	-17.48	-6.97
-25.60	-18.50	-6.85
-25.60	-17.85	-7.23
-25.60	-17.75	-7.47
-3.55	-9.37	-0.27
-25.60	-17.48	-6.91
-25.60	-17.68	-7.27
-25.60	-17.65	-7.34
-26.65	-19.62	-7.43
-26.65	-20.16	-7.09
-3.13	-7.99	-0.83
-25.60	-17.85	-7.58
-3.16	-8.08	-0.67
-25.60	-19.62	-7.25
-3.48	-9.24	-0.32
-25.60	-19.62	-6.88
-4.26	-9.34	-0.80
-26.65	-19.42	-6.14
-25.60	-17.85	-7.19
-26.65	-20.16	-6.17
-25.60	-19.62	-6.52
-3.20	-8.64	-1.38
-26.65	-18.50	-7.90
-25.60	-19.62	-7.30
-26.65	-18.30	-7.67
-26.65	-10.83	-0.39
-26.65	-18.08	-6.95
-26.65	-19.00	-7.42
-4.32	-10.97	0.29
-25.60	-8.43	-0.89
-26.65	-18.59	-6.97
-26.65	-18.30	-7.57
-26.65	-18.59	-7.14
-26.65	-8.10	-1.07
-25.60	-17.68	-7.47
-24.75	-20.16	-5.75
-26.65	-18.30	-7.83
-23.77	-20.01	-6.55
-26.65	-18.50	-6.79
-26.65	-19.42	-7.94
-26.65	-18.30	-6.88
-25.60	-18.68	-5.70
-24.75	-20.16	-6.63
-2.10	-6.25	-0.16
-26.65	-18.50	-7.05
-3.48	-5.14	0.29
-26.65	-9.37	-0.11
-25.60	-19.42	-7.46
-3.07	-5.85	-0.23
-26.65	-20.16	-7.64
-1.86	-5.14	-0.48
-25.60	-6.98	0.02
-25.60	-20.01	-6.39
-25.60	-17.85	-7.42
-3.20	-8.74	-0.77
-3.48	-8.00	-0.31
-3.13	-9.12	0.14
-23.77	-20.01	-6.73
-26.65	-20.16	-7.07
-25.60	-6.60	0.23
-25.60	-19.62	-7.36
-26.65	-19.62	-7.33
-26.65	-18.30	-7.86
-26.65	-18.39	-6.72
-3.55	-4.96	0.22
-2.09	-5.86	-0.36
-26.65	-18.30	-6.97
-3.55	-6.74	-0.08
-26.65	-20.16	-7.56
-25.60	-17.65	-7.04
-25.60	-17.56	-6.95
-26.65	-17.75	-7.26
