order	isomer_name	energy_in_Hatree	energy_difference_in_kcal/mol
0  Geom_Geom_128  -835.302995209  0.0
1  Geom_Geom_138  -835.302995207  1.25500552767e-06
2  Geom_Geom_186  -835.302995206  1.88250829151e-06
3  Geom_Geom_132  -835.302995205  2.51001105535e-06
4  Geom_Geom_152  -835.302995199  6.27509897793e-06
5  Geom_Geom_143  -835.302995197  7.5301045056e-06
6  Geom_Geom_43  -835.302995197  7.5301045056e-06
7  Geom_Geom_139  -835.302995196  8.15760726944e-06
8  Geom_Geom_146  -835.302995196  8.15760726944e-06
9  Geom_Geom_200  -835.302995196  8.15760726944e-06
10  Geom_Geom_69  -835.302995196  8.15760726944e-06
11  Geom_Geom_125  -835.302995195  8.78511003327e-06
12  Geom_Geom_192  -835.302995195  8.78511003327e-06
13  Geom_Geom_145  -835.302995194  9.41261279711e-06
14  Geom_Geom_160  -835.302995193  1.00401155609e-05
15  Geom_Geom_30  -835.302995193  1.00401155609e-05
16  Geom_Geom_40  -835.302995191  1.12951210886e-05
17  Geom_Geom_184  -835.302995187  1.38052034835e-05
18  Geom_Geom_77  -835.302995186  1.44327062474e-05
19  Geom_Geom_133  -835.302995184  1.5687711775e-05
20  Geom_Geom_147  -835.302995177  2.00803024615e-05
21  Geom_Geom_137  -835.302995174  2.1962810753e-05
22  Geom_Geom_197  -835.302995174  2.1962810753e-05
23  Geom_Geom_94  -835.302995173  2.25903135168e-05
24  Geom_Geom_185  -835.302995166  2.69829042032e-05
25  Geom_Geom_131  -835.302995165  2.76104069671e-05
26  Geom_Geom_32  -835.302995163  2.88654124947e-05
27  Geom_Geom_90  -835.302995161  3.01204180224e-05
28  Geom_Geom_121  -835.30299516  3.07479207862e-05
29  Geom_Geom_55  -835.302995159  3.13754235501e-05
30  Geom_Geom_26  -835.302995154  3.45130087088e-05
31  Geom_Geom_46  -835.302995149  3.7650522528e-05
32  Geom_Geom_105  -835.302995145  4.01606049229e-05
33  Geom_Geom_104  -835.302995144  4.07881076867e-05
34  Geom_Geom_130  -835.302995143  4.14156104506e-05
35  Geom_Geom_37  -835.302995142  4.20431132144e-05
36  Geom_Geom_73  -835.302995141  4.26706159782e-05
