BE_DFT (kcal/mol)	BE_ANI (kcal/mol)	BE_PM7 (kcal/mol)
1.92	2.28	-6.32
1.16	0.24	-8.35
1.30	-0.14	-8.22
0.76	-0.31	-8.45
1.14	-0.34	-8.33
1.14	-0.73	-8.55
1.34	-0.70	-8.49
1.07	0.12	-8.22
1.39	-0.57	-6.92
1.73	-0.16	-8.27
-0.40	-3.75	-10.14
0.21	-2.75	-9.86
1.42	0.35	-7.51
0.07	-3.19	-9.64
2.07	0.64	-9.16
1.11	0.68	-9.15
-17.75	-14.31	-18.05
-16.07	-13.23	-19.91
-0.33	-3.86	-10.23
1.45	1.56	-7.97
2.16	0.74	-8.82
1.61	0.13	-7.86
-0.14	-2.79	-8.44
0.16	-3.50	-10.10
1.37	0.45	-8.04
-0.07	-3.54	-9.35
2.25	2.19	-6.17
-0.21	-3.79	-10.41
-18.72	-13.33	-19.75
-18.71	-13.02	-17.91
-15.86	-12.82	-18.75
1.81	1.75	-7.54
-18.01	-13.38	-16.92
0.84	-1.67	-9.20
1.52	-0.30	-8.35
-18.66	-13.09	-20.53
-13.40	-10.82	-18.77
-17.87	-14.12	-20.09
-15.24	-12.40	-19.17
1.52	0.75	-7.66
-16.85	-12.15	-19.23
-16.10	-13.15	-19.76
-16.84	-13.63	-19.92
-14.51	-13.19	-19.57
-16.92	-13.79	-19.51
0.47	1.65	-9.45
-16.63	-12.62	-19.37
-17.84	-13.03	-20.59
-16.34	-13.68	-19.86
1.13	-3.17	-8.91
0.93	-1.15	-9.00
-1.79	-4.91	-10.41
1.34	-0.96	-8.62
1.80	-0.11	-8.33
-16.47	-13.22	-19.26
-17.15	-13.90	-19.90
1.18	-1.24	-8.44
-15.27	-12.86	-18.29
0.10	-3.11	-9.92
1.24	-1.29	-8.66
1.26	-0.26	-8.42
1.17	-0.95	-8.47
1.48	0.52	-7.67
1.61	-0.27	-7.63
-13.58	-11.36	-19.32
-14.59	-11.68	-18.81
-16.21	-12.69	-18.72
1.53	-0.86	-8.71
-16.01	-12.51	-18.80
-16.59	-13.94	-20.33
-15.15	-12.47	-18.54
0.85	-2.65	-9.15
0.96	-2.31	-7.84
-17.59	-12.91	-19.56
0.52	-2.73	-9.41
0.92	-0.92	-8.73
1.25	-0.22	-8.98
-14.63	-13.08	-15.54
1.38	0.65	-7.86
-16.05	-14.80	-20.77
-16.15	-13.53	-19.38
0.58	-2.92	-8.58
1.08	-2.46	-8.55
-15.92	-13.17	-19.64
-16.29	-13.45	-19.39
-18.27	-13.17	-20.28
-17.00	-13.57	-20.19
0.03	-3.75	-9.77
-14.59	-12.43	-17.64
0.02	-3.44	-9.68
-15.51	-14.27	-20.07
-18.25	-13.63	-20.04
-16.36	-12.66	-19.96
-16.11	-14.06	-19.68
-16.27	-14.66	-20.42
-16.59	-13.00	-19.49
-15.40	-13.21	-19.38
-17.30	-13.65	-20.09
-17.85	-13.25	-18.47
1.54	0.41	-8.13
-17.03	-13.28	-19.92
-17.62	-13.38	-19.89
1.64	-0.34	-7.64
-17.81	-12.82	-20.04
-16.93	-12.47	-19.83
-15.69	-12.48	-19.31
0.87	-0.12	-8.40
0.23	-3.12	-9.61
0.95	-1.05	-8.66
1.36	2.20	-7.29
1.09	0.27	-7.94
-18.83	-13.45	-19.83
-0.24	-3.96	-9.73
1.28	0.04	-8.53
-1.04	-1.79	-9.02
-17.20	-13.23	-19.95
1.18	-2.48	-9.72
1.08	1.42	-8.04
-16.86	-13.40	-19.80
0.48	-2.41	-9.70
-17.36	-15.14	-21.24
-14.69	-12.56	-15.04
1.11	-0.54	-8.73
-17.60	-12.67	-19.77
1.30	0.27	-9.14
-14.94	-11.82	-18.43
-15.85	-13.89	-18.95
0.47	-2.98	-9.92
-17.38	-13.68	-19.53
-17.06	-12.99	-19.94
-17.87	-14.15	-19.75
2.38	1.04	-7.84
-16.34	-13.74	-19.63
-17.60	-13.81	-19.44
0.76	-2.76	-8.57
0.34	-2.05	-9.76
1.89	2.13	-7.20
-16.84	-11.94	-19.43
-18.27	-14.15	-16.36
-16.85	-12.44	-19.56
1.41	0.14	-8.43
-17.81	-13.26	-20.06
-14.72	-12.29	-18.08
-17.51	-15.18	-20.70
-16.07	-13.28	-19.19
-14.78	-13.40	-19.84
-17.78	-13.16	-20.33
-17.05	-12.43	-19.37
-13.32	-11.22	-18.58
1.55	-0.53	-8.54
-15.18	-13.39	-19.09
1.20	-1.70	-8.76
-15.53	-14.16	-20.00
1.81	0.12	-7.63
0.18	-3.39	-9.02
1.63	1.80	-6.54
0.94	-0.42	-9.31
-16.77	-11.59	-20.07
1.20	0.38	-7.92
1.48	2.45	-7.38
-16.65	-13.64	-20.72
0.98	1.58	-7.80
0.98	-0.88	-8.29
1.07	0.02	-7.90
1.82	0.11	-8.22
1.80	-0.23	-8.67
1.54	-0.17	-8.09
-16.37	-14.15	-19.59
1.34	0.04	-8.21
0.61	-2.56	-9.36
-18.15	-12.80	-20.04
-0.21	-3.68	-9.76
1.19	-0.03	-8.87
1.41	0.17	-7.67
0.30	-2.52	-7.97
-16.61	-13.75	-19.75
-15.90	-13.28	-19.58
0.05	-2.94	-8.81
1.81	-0.01	-7.46
1.05	0.09	-7.88
-17.08	-12.57	-19.85
1.43	1.98	-7.75
0.05	-2.93	-10.18
2.16	2.42	-6.93
-17.75	-13.46	-19.08
-16.72	-13.56	-21.56
-15.53	-13.43	-19.34
0.85	1.48	-7.81
-0.42	-3.73	-10.25
0.97	-0.85	-9.09
1.77	-0.28	-8.39
1.19	0.35	-8.02
-16.81	-12.73	-19.42
1.34	-0.47	-8.22
0.74	-0.48	-7.89
-17.12	-13.86	-21.46
1.63	-0.51	-8.83
-16.84	-14.01	-19.86
-16.26	-13.54	-19.53
-16.10	-13.43	-18.94
-16.39	-12.06	-17.90
