BE_DFT (kcal/mol)	BE_ANI (kcal/mol)	BE_PM7 (kcal/mol)
-14.12	-5.68	-2.09
-4.03	-5.69	-3.32
-14.12	-11.67	-5.96
-14.16	-11.12	-5.82
-14.16	-5.68	-3.06
-4.03	-5.69	-1.61
-14.16	-5.69	-3.29
-14.16	-11.12	-5.85
-12.86	-12.35	-5.15
-4.03	-5.69	-3.06
-14.16	-5.68	-3.53
-14.16	-11.12	-5.99
-4.03	-6.81	-1.77
-14.12	-11.67	-5.90
-14.16	-11.12	-5.81
-4.03	-5.68	-3.31
-14.16	-11.12	-2.98
-14.16	-11.12	-5.82
-14.12	-11.65	-3.60
-14.12	-11.67	-6.03
-14.12	-11.67	-6.02
-14.12	-5.68	-1.97
-14.16	-11.12	-5.95
-14.12	-11.67	-6.13
-4.03	-5.69	-1.84
-14.16	-6.81	-2.23
-14.12	-11.67	-6.26
-14.16	-11.12	-6.01
-4.03	-5.68	-1.78
-14.16	-12.32	-5.21
-14.12	-11.67	-2.43
-14.16	-11.11	-3.43
-14.12	-11.65	-3.50
-14.12	-11.65	-4.19
-14.12	-11.65	-4.04
-14.12	-11.65	-2.54
-14.16	-11.12	-5.87
-14.16	-11.12	-6.04
-4.03	-6.60	-1.66
-14.12	-5.69	-3.54
-4.03	-5.69	-1.85
-4.03	-6.81	-3.30
-14.16	-5.69	-3.47
-14.16	-11.12	-5.80
-14.16	-11.12	-5.90
-14.12	-11.19	-5.73
-12.28	-12.32	-2.05
-14.16	-11.97	-2.05
-14.16	-11.12	-6.05
-4.03	-6.81	-2.95
-14.16	-5.69	-3.32
-14.12	-5.69	-2.21
-4.03	-6.81	-3.19
-4.03	-5.68	-1.93
-14.16	-11.12	-2.11
-14.16	-11.12	-5.92
-14.12	-11.67	-5.83
-14.12	-11.65	-4.32
-14.12	-11.67	-6.09
-14.16	-11.12	-5.99
-14.16	-11.12	-6.10
-14.12	-11.65	-4.24
-14.12	-11.65	-3.55
-14.12	-11.19	-5.70
-12.86	-12.32	-2.40
-14.12	-11.65	-3.80
-14.12	-11.67	-5.98
-14.16	-11.12	-6.03
-14.12	-11.67	-5.84
-14.16	-11.12	-5.86
-14.16	-11.65	-3.10
-14.12	-11.65	-3.62
-14.16	-11.12	-5.87
-14.16	-11.12	-6.04
-14.12	-11.65	-3.44
-14.12	-11.65	-3.13
-4.03	-6.81	-1.89
-14.12	-11.59	-4.48
-4.03	-6.81	-1.85
-4.01	-5.68	-3.63
-14.12	-11.19	-5.62
-14.16	-11.12	-5.83
-14.16	-11.12	-5.79
-14.12	-5.69	-3.55
-14.16	-5.36	-1.89
-14.12	-11.65	-3.80
-14.12	-11.65	-4.22
-14.12	-4.86	-3.29
-14.16	-11.59	-2.62
-14.16	-12.32	-0.81
-14.12	-11.65	-3.97
-14.16	-11.12	-5.99
-14.12	-11.65	-4.42
-14.12	-12.28	-1.13
-14.12	-3.50	-0.15
-14.16	-11.12	-2.10
-14.12	-11.67	-6.29
-14.12	-12.28	-1.54
-14.12	-11.67	-5.99
-14.12	-11.65	-3.97
-14.12	-11.65	-3.30
-14.12	-11.65	-2.52
-14.12	-11.65	-4.43
-14.16	-11.12	-6.06
-14.12	-11.67	-6.14
-14.16	-11.12	-5.90
-4.03	-6.81	-3.19
-14.12	-11.19	-5.77
-4.00	-5.36	-3.41
-14.12	-11.65	-4.07
-14.12	-5.68	-2.12
-14.16	-11.12	-6.03
-14.12	-11.67	-5.14
-14.12	-11.67	-5.96
-14.16	-12.28	-1.64
-14.12	-11.65	-2.89
-14.16	-11.12	-5.68
-14.16	-11.65	-2.87
-14.16	-11.12	-5.73
-14.16	-11.12	-5.92
-14.12	-11.19	-5.77
-14.16	-11.12	-5.49
-14.12	-11.67	-5.90
-12.86	-12.35	-5.10
-14.16	-5.68	-2.10
-4.03	-5.36	-1.64
-14.12	-5.69	-3.21
-14.16	-11.11	-3.16
-14.16	-11.12	-5.98
-14.12	-12.28	-2.84
-4.03	-5.68	-1.62
