order	isomer_name	energy_in_Hatree	energy_difference_in_kcal/mol
0  Geom_Geom_178  -776.558204813  0.0
1  Geom_Geom_4  -776.558204811  1.25500552767e-06
2  Geom_Geom_8  -776.558204809  2.51001105535e-06
3  Geom_Geom_82  -776.558204806  4.39251934686e-06
4  Geom_Geom_134  -776.5582048  8.15760726944e-06
5  Geom_Geom_46  -776.558204791  1.38052034835e-05
6  Geom_Geom_147  -776.558204778  2.1962810753e-05
7  Geom_Geom_37  -776.558204772  2.57278986755e-05
8  Geom_Geom_24  -776.55820477  2.69829042032e-05
9  Geom_Geom_44  -776.558204768  2.82379097309e-05
10  Geom_Geom_62  -776.558204752  3.82780252918e-05
11  Geom_Geom_104  -776.558204751  3.89055993952e-05
12  Geom_Geom_101  -776.558204738  4.70632066647e-05
13  Geom_Geom_181  -776.558204738  4.70632066647e-05
14  Geom_Geom_196  -776.558204727  5.39658084064e-05
15  Geom_Geom_63  -776.558204727  5.39658084064e-05
16  Geom_Geom_192  -776.558204716  6.08684101482e-05
17  Geom_Geom_185  -776.558204711  6.40059239674e-05
18  Geom_Geom_119  -776.558204708  6.58885035984e-05
19  Geom_Geom_127  -776.558204704  6.83985146538e-05
20  Geom_Geom_9  -776.558204689  7.78111274509e-05
21  Geom_Geom_3  -776.558204682  8.22037181373e-05
22  Geom_Geom_70  -776.558204666  9.22438336983e-05
23  Geom_Geom_98  -776.558204665  9.28714078017e-05
24  Geom_Geom_188  -776.558204658  9.72639271485e-05
25  Geom_Geom_88  -776.558204646  0.000104794031654
26  Geom_Geom_66  -776.558204643  0.000106676611285
27  Geom_Geom_83  -776.55820464  0.000108559119577
28  Geom_Geom_100  -776.558204639  0.000109186622341
29  Geom_Geom_123  -776.558204635  0.000111696633396
30  Geom_Geom_55  -776.558204633  0.000112951710263
31  Geom_Geom_22  -776.558204627  0.000116716726846
32  Geom_Geom_133  -776.558204625  0.000117971732374
33  Geom_Geom_71  -776.558204625  0.000117971732374
34  Geom_Geom_173  -776.55820462  0.000121109317533
35  Geom_Geom_25  -776.558204604  0.000131149433093
36  Geom_Geom_53  -776.5582046  0.000133659515488
37  Geom_Geom_142  -776.558204597  0.00013554202378
38  Geom_Geom_162  -776.558204594  0.000137424532071
39  Geom_Geom_30  -776.558204594  0.000137424532071
40  Geom_Geom_182  -776.558204584  0.000143699631049
41  Geom_Geom_159  -776.558204567  0.000154367320714
42  Geom_Geom_186  -776.558204533  0.000175702628703
43  Geom_Geom_198  -776.558204528  0.000178840142522
44  Geom_Geom_13  -776.558204491  0.000202058030142
45  Geom_Geom_39  -776.558204486  0.000205195543961
46  Geom_Geom_87  -776.558204456  0.000224020840895
47  Geom_Geom_105  -776.558204389  0.00026606395411
48  Geom_Geom_78  -776.558204159  0.000410391159262
49  Geom_Geom_12  -776.558204141  0.000421686280351
50  Geom_Geom_157  -776.558138671  0.0415047266867
51  Geom_Geom_29  -776.558138652  0.0415166493818
52  Geom_Geom_0  -776.558138631  0.0415298270826
53  Geom_Geom_154  -776.558138617  0.0415386121926
54  Geom_Geom_92  -776.558138613  0.041541122275
55  Geom_Geom_125  -776.558138603  0.041547397374
56  Geom_Geom_172  -776.558138603  0.041547397374
57  Geom_Geom_26  -776.558138602  0.0415480248767
58  Geom_Geom_199  -776.558138601  0.0415486523795
59  Geom_Geom_149  -776.558138594  0.0415530449702
60  Geom_Geom_45  -776.558138589  0.041556182484
61  Geom_Geom_51  -776.558138574  0.0415655950968
62  Geom_Geom_67  -776.558138573  0.0415662226709
63  Geom_Geom_148  -776.558138572  0.0415668501737
64  Geom_Geom_195  -776.558138572  0.0415668501737
65  Geom_Geom_103  -776.55813856  0.0415743802782
66  Geom_Geom_84  -776.558138551  0.0415800278744
67  Geom_Geom_187  -776.558138548  0.0415819103827
68  Geom_Geom_146  -776.558138538  0.0415881854817
69  Geom_Geom_145  -776.558138534  0.0415906954927
70  Geom_Geom_93  -776.558138533  0.0415913229955
71  Geom_Geom_128  -776.558138529  0.0415938330779
72  Geom_Geom_52  -776.558138529  0.0415938330779
73  Geom_Geom_106  -776.558138524  0.0415969705917
74  Geom_Geom_179  -776.558138518  0.0416007356796
75  Geom_Geom_171  -776.558138513  0.0416038731934
76  Geom_Geom_189  -776.558138508  0.0416070107786
77  Geom_Geom_165  -776.558138505  0.0416088932869
78  Geom_Geom_112  -776.558138495  0.0416151683859
79  Geom_Geom_132  -776.558138495  0.0416151683859
80  Geom_Geom_175  -776.558138492  0.0416170508942
81  Geom_Geom_85  -776.558138482  0.0416233259931
82  Geom_Geom_99  -776.558138467  0.0416327386059
83  Geom_Geom_95  -776.558138464  0.0416346211856
84  Geom_Geom_115  -776.558138442  0.041648426389
85  Geom_Geom_135  -776.558138431  0.0416553289908
86  Geom_Geom_156  -776.558138427  0.0416578390018
87  Geom_Geom_20  -776.558138414  0.0416659966091
