BE_DFT (kcal/mol)	BE_ANI (kcal/mol)	BE_PM7 (kcal/mol)
-1.12	-0.68	-11.00
-2.18	-2.80	-11.33
-11.71	-8.51	-14.75
-11.88	-8.02	-14.61
-1.97	-2.32	-10.79
-0.63	-1.25	-10.60
-1.11	-1.23	-9.74
-1.37	-1.33	-9.66
-2.18	-2.32	-11.57
-11.79	-8.07	-14.58
-9.75	-8.72	-14.01
-1.92	-2.69	-11.26
-2.25	-2.56	-11.66
-11.38	-8.67	-14.67
-2.01	-3.18	-11.74
-2.09	0.03	-10.28
-1.66	-2.83	-10.75
-2.01	-2.81	-10.99
-1.60	-3.43	-11.41
-0.89	-1.37	-10.63
-11.58	-8.34	-14.66
-2.11	-1.69	-10.03
-11.88	-7.93	-14.60
-1.72	-2.85	-11.40
-10.35	-6.58	-12.03
-11.78	-8.14	-14.63
-8.37	-6.96	-12.45
-11.75	-8.44	-14.71
-11.51	-8.39	-14.76
-0.92	-0.82	-10.95
-11.78	-8.29	-14.68
-1.36	-2.27	-10.86
-11.69	-8.79	-14.82
-0.98	-1.35	-10.65
-2.12	-1.92	-11.51
-0.49	-1.29	-10.79
-2.20	-2.80	-11.57
-0.98	-0.98	-11.09
-11.65	-8.68	-14.88
-11.63	-8.55	-14.73
-2.19	-1.72	-10.12
-0.72	-1.37	-10.78
-1.81	-2.65	-11.43
-1.79	-3.02	-11.00
-8.63	-5.12	-13.71
-8.84	-5.89	-11.58
-10.87	-7.08	-12.54
-8.53	-5.93	-12.18
-1.86	-1.23	-10.17
-2.08	-0.75	-10.34
-10.46	-8.32	-12.82
-10.13	-8.82	-12.59
-9.52	-6.33	-11.64
-11.93	-7.99	-14.61
-1.52	-0.73	-10.05
-11.77	-8.43	-14.73
-0.69	-1.48	-10.51
-2.62	-1.54	-11.92
-0.82	-1.55	-10.64
-2.22	-2.35	-11.37
-2.46	-2.18	-11.51
-2.05	-1.94	-11.26
-1.99	-2.77	-11.81
-11.70	-8.20	-14.64
-0.51	-0.74	-10.71
