BE_DFT (kcal/mol)	BE_ANI (kcal/mol)	BE_PM7 (kcal/mol)
-18.91	-17.98	-2.54
-18.91	-17.98	-2.36
-18.91	-17.98	-7.81
-18.91	-16.96	-7.91
-18.91	-16.96	-6.78
-18.91	-17.98	-7.83
-18.91	-16.96	-5.43
-18.91	-16.96	-7.94
-18.91	-5.19	-2.07
-18.91	-16.96	-5.63
-18.91	-16.96	-6.57
-18.91	-17.98	-6.30
-18.91	-7.95	-0.04
-18.91	-16.96	-7.83
-18.91	-18.50	-1.76
-18.91	-4.37	-1.57
-18.91	-17.98	-2.53
-18.91	-16.96	-7.13
-18.91	-16.90	-7.83
-18.91	-17.98	-0.62
-18.91	-16.96	-2.78
-18.91	-16.96	-0.82
-18.91	-6.04	-1.93
-18.91	-18.50	-1.46
-18.91	-16.96	-7.83
-18.91	-16.96	-6.58
-18.91	-16.96	-7.85
-18.91	-16.96	-7.86
-18.91	-16.96	-7.89
-18.91	-18.50	-7.10
-18.91	-18.51	-5.72
-18.91	-18.50	-1.53
-18.91	-18.50	-1.35
-18.91	-16.90	-6.68
-18.91	-16.96	-6.72
-18.91	-16.96	-0.97
-18.91	-16.96	-2.57
-18.91	-16.96	-7.82
-18.91	-18.50	-7.56
-18.91	-16.96	-7.85
-18.91	-16.90	-6.71
-18.91	-18.50	-7.50
-18.91	-18.47	-0.26
-18.91	-16.97	-2.07
-17.30	-16.93	-6.75
-18.91	-4.51	-2.39
-18.91	-5.15	-2.20
-18.91	-18.50	-7.53
-18.91	-16.96	-6.78
-18.91	-16.96	-7.73
-18.91	-16.96	-6.81
-18.91	-4.51	-2.47
-18.91	-17.98	-2.59
-18.91	-16.90	-6.67
-18.91	-17.98	-7.79
-18.91	-16.82	-7.76
-18.91	-17.98	-2.48
-18.91	-18.50	-2.22
-18.91	-4.52	-2.19
-18.91	-7.95	-0.14
-18.91	-17.98	-7.85
-18.91	-16.96	-7.91
-18.91	-18.50	-7.54
-18.91	-16.96	-7.70
-18.91	-4.53	-2.14
-18.91	-17.98	-1.52
-18.91	-16.96	-7.85
-18.91	-16.96	-7.79
-18.91	-16.96	-7.85
-18.91	-18.50	-5.57
-18.91	-16.96	-6.46
-18.91	-16.97	-0.81
-2.03	-4.50	-2.12
-18.91	-17.98	-2.53
-18.91	-18.50	-5.93
-18.91	-5.11	-1.51
-18.91	-4.38	-1.55
-18.91	-17.98	-2.36
-18.91	-4.59	-2.02
-18.91	-17.98	-1.57
-17.30	-18.50	-1.82
-18.91	-18.50	-7.47
-18.91	-16.96	-7.82
-18.91	-16.96	-1.29
-18.91	-16.96	-7.83
-18.91	-16.96	-7.85
-18.91	-16.96	-7.86
-18.91	-17.98	-6.31
-18.91	-17.98	-7.92
-18.91	-16.96	-7.83
-18.91	-16.96	-1.95
-18.91	-16.96	-7.01
-18.91	-17.98	-7.54
-17.30	-16.93	-6.67
-18.91	-16.96	-7.76
-18.91	-16.96	-7.82
-18.91	-16.96	-7.31
-18.91	-18.50	-2.38
-18.91	-16.96	-0.80
-18.91	-16.97	-0.82
-18.91	-16.96	-6.42
-18.91	-18.50	-5.09
-18.91	-16.96	-7.87
-18.91	-16.96	-6.59
-18.91	-16.96	-6.86
