BE_DFT (kcal/mol)	BE_ANI (kcal/mol)	BE_PM7 (kcal/mol)
0.13	-1.38	-9.27
0.90	-1.10	-7.84
0.43	-1.45	-9.06
-0.86	-1.57	-10.55
-0.40	-0.58	-10.58
0.84	-1.31	-10.11
-15.42	-13.15	-19.79
-15.77	-13.35	-19.78
-14.86	-14.21	-17.74
-15.53	-13.16	-19.62
-13.90	-13.17	-16.15
-15.45	-13.12	-19.68
-0.32	-1.71	-10.26
0.37	-1.45	-10.16
0.43	-2.22	-9.26
0.35	-1.28	-9.35
-14.17	-13.82	-16.30
-16.08	-13.62	-17.21
-12.76	-12.95	-17.86
1.34	-0.82	-7.57
-15.32	-12.98	-19.58
-0.17	-2.79	-9.64
0.86	-1.23	-9.35
0.03	-0.95	-9.08
-1.21	-1.15	-10.63
0.23	-2.34	-9.14
-0.08	-2.38	-10.13
0.02	-2.19	-9.44
-14.20	-12.62	-17.83
-15.61	-13.34	-19.61
1.02	-1.10	-8.49
1.42	-0.98	-8.23
-1.06	-0.94	-10.88
-0.09	-1.37	-9.10
0.40	-1.75	-8.71
0.46	-1.25	-10.23
0.16	-1.77	-10.25
-0.17	-1.07	-9.56
-15.55	-13.17	-19.79
0.68	-1.10	-8.59
-15.99	-13.36	-17.38
-15.49	-13.26	-19.58
-15.80	-13.19	-19.72
-15.68	-13.24	-19.77
-13.87	-12.75	-18.69
-14.32	-13.38	-16.44
0.36	-0.89	-9.31
-0.85	-1.44	-9.47
1.43	-0.74	-7.83
-0.02	-2.19	-9.66
-0.15	-1.20	-9.14
-14.78	-13.84	-17.47
-16.14	-13.78	-17.44
0.31	-0.97	-9.82
-0.18	-1.59	-9.20
0.71	-1.74	-9.26
-0.22	-1.92	-8.55
-0.19	-1.89	-8.50
-1.02	-1.28	-10.84
0.69	-0.77	-8.95
-15.46	-13.14	-19.73
-15.41	-13.34	-19.30
0.63	-2.03	-10.18
-16.00	-13.54	-19.56
-15.58	-13.85	-17.59
-14.95	-13.23	-19.24
0.01	-1.08	-7.30
-2.53	-3.38	-9.78
0.20	-1.85	-9.71
-13.66	-13.68	-18.42
-0.04	-1.17	-10.66
0.12	-1.10	-9.86
0.00	-1.07	-10.26
0.43	-1.86	-10.24
0.24	-1.77	-9.51
0.52	-1.91	-10.14
0.36	-1.80	-10.15
0.14	-1.75	-9.34
0.40	-1.54	-10.19
-0.10	-1.29	-9.55
-15.06	-13.16	-19.27
0.22	-1.68	-8.50
0.36	-1.57	-9.73
0.12	-1.92	-9.65
0.23	-1.65	-9.05
0.98	-1.88	-9.83
-16.10	-13.82	-17.53
0.29	-1.53	-8.59
0.44	-1.85	-9.81
0.51	-1.75	-10.08
0.26	-1.65	-9.32
1.12	-1.05	-8.24
-15.61	-13.15	-19.50
-16.24	-13.83	-17.57
-0.13	-2.16	-9.81
0.74	-0.93	-8.87
0.30	-1.67	-9.71
1.35	-0.18	-6.14
1.24	-0.84	-7.95
-0.36	-1.58	-8.73
-0.06	-1.01	-10.66
0.18	-1.70	-10.20
2.72	-0.57	-10.49
-0.57	-0.53	-10.85
-15.77	-13.48	-17.52
-15.36	-13.05	-19.86
0.65	-1.85	-9.83
-15.14	-12.87	-19.44
0.21	-1.77	-9.72
0.24	-1.59	-9.78
-1.06	-1.17	-10.75
0.83	-2.13	-10.38
-0.67	-2.48	-9.68
-0.97	-1.54	-10.33
0.13	-1.14	-10.26
0.90	-1.31	-7.36
-0.07	-1.44	-8.85
-15.59	-13.27	-19.83
0.48	-1.18	-9.93
1.67	-1.68	-9.70
0.36	-1.75	-9.57
0.21	-2.63	-9.14
-15.74	-13.42	-19.65
-14.97	-13.20	-19.28
-15.33	-12.87	-19.54
0.47	-1.59	-10.17
-0.44	-1.95	-9.33
-15.84	-13.30	-19.74
-15.54	-13.29	-19.47
-15.53	-13.12	-19.77
-0.01	-1.82	-10.07
0.51	-0.89	-9.04
-0.00	-1.85	-10.00
-0.06	-1.66	-9.98
-13.65	-13.87	-16.04
-15.14	-13.58	-17.36
0.13	-1.49	-9.12
0.19	-1.50	-8.69
0.30	-1.38	-8.69
0.92	-1.09	-8.95
0.49	-0.76	-7.57
0.70	-2.00	-10.06
0.17	-1.66	-9.78
-0.36	-0.32	-10.59
0.36	-1.88	-9.77
0.33	-1.69	-8.41
-14.04	-14.06	-16.48
0.07	-1.97	-9.23
0.10	-1.72	-9.53
0.38	-1.30	-8.40
0.30	-1.73	-9.47
-0.20	-2.36	-8.90
-0.17	-0.34	-10.59
0.17	-2.21	-8.93
0.37	-1.58	-9.76
0.15	-1.37	-10.22
0.17	-0.38	-10.07
0.69	-1.15	-9.14
-0.45	-1.85	-9.11
0.36	-1.81	-9.73
0.81	-1.25	-9.32
-0.09	-1.09	-8.75
-0.03	-2.27	-9.79
0.63	-1.60	-10.39
-0.61	-0.65	-10.45
-0.03	-1.99	-9.91
0.01	-1.35	-9.99
-0.42	-1.50	-9.45
0.11	-1.58	-9.82
-0.35	-2.37	-9.85
-14.99	-13.30	-19.17
-15.78	-13.22	-19.72
0.58	-0.84	-9.19
0.56	-0.58	-9.11
-15.83	-13.31	-19.72
-15.29	-13.12	-19.47
-15.81	-13.41	-19.58
-0.03	-1.57	-8.82
-13.09	-13.14	-17.91
-15.54	-13.32	-19.34
-15.59	-13.30	-19.45
-0.46	-1.17	-9.71
-14.31	-12.86	-17.86
-15.36	-13.12	-19.18
-13.25	-13.39	-17.79
-0.27	-1.98	-8.79
-0.16	-2.73	-9.68
-15.56	-13.22	-19.53
-15.43	-13.03	-19.82
-14.77	-13.29	-18.17
0.52	-1.90	-10.10
0.26	-1.56	-8.96
0.13	-1.35	-10.25
-1.86	-2.16	-10.62
