BE_DFT (kcal/mol)	BE_ANI (kcal/mol)	BE_PM7 (kcal/mol)
-19.65	-10.03	-2.03
-18.79	-12.04	-1.16
-14.51	-12.97	-4.54
-14.43	-7.20	-1.40
-13.74	-16.18	-3.29
-12.03	-8.33	-0.95
-9.95	-20.40	-6.25
-17.86	-8.45	-2.92
-14.43	-14.79	-3.89
-13.74	-22.14	-2.64
-19.65	-11.07	-1.74
-19.65	-10.18	-2.35
-8.80	-12.66	-2.16
-9.25	-10.65	-1.86
-18.79	-9.97	-2.03
-18.79	-14.79	-3.68
-13.74	-10.66	-2.28
-18.79	-9.84	-2.05
-18.79	-9.26	-3.15
-10.30	-10.68	-3.51
-16.43	-10.08	-2.69
-10.30	-7.11	-1.90
-14.43	-8.05	-2.67
-20.25	-10.80	-4.19
-10.68	-14.14	-1.66
-11.02	-12.73	-2.75
-13.74	-16.18	-2.35
-18.79	-10.01	-2.48
-20.25	-18.80	-7.10
-20.25	-9.93	-2.61
-20.25	-14.62	-2.05
-15.81	-14.39	-4.10
-13.74	-13.31	-2.37
-20.25	-13.26	-3.07
-13.74	-7.21	-3.05
-8.54	-10.80	-2.74
-10.68	-12.02	-1.81
-10.36	-10.84	-0.44
-20.25	-7.13	-3.22
-10.30	-7.13	-2.77
-9.95	-10.03	-2.47
-18.79	-12.73	-2.79
-13.74	-18.82	-7.02
-20.25	-10.84	-3.74
-20.25	-13.72	-3.53
-13.74	-11.69	-2.24
-13.08	-9.49	-2.69
-10.68	-10.43	-3.75
-13.74	-13.78	-4.37
-14.59	-9.94	-0.93
-14.59	-15.63	-3.90
-15.66	-14.14	-3.70
-15.89	-11.40	0.04
-14.59	-9.59	-3.36
-9.95	-19.23	-6.57
-19.65	-12.39	-3.18
-15.89	-9.59	-0.69
-9.95	-9.26	-2.95
-10.30	-12.19	-6.04
-15.81	-19.40	-7.26
-19.65	-12.59	-3.00
-10.36	-19.39	-6.80
-19.65	-12.68	0.84
-17.60	-19.39	-7.27
-19.65	-21.03	-2.00
-19.66	-10.90	-1.20
-20.25	-12.17	-6.26
-15.81	-16.10	-2.29
-20.25	-11.12	-2.05
-16.43	-12.07	-5.52
-14.59	-14.14	0.15
-9.25	-19.22	-4.65
-19.65	-12.01	-4.19
-14.59	-15.63	-1.44
-16.43	-14.30	-3.52
-14.59	-15.63	-2.14
-15.66	-12.39	-1.82
-17.60	-15.73	-2.50
-13.74	-20.16	-1.32
-13.74	-5.96	-1.64
-13.74	-5.05	-2.15
-14.59	-9.70	-2.08
-16.43	-16.18	-2.82
-20.25	-12.73	-3.72
-13.04	-21.00	-1.43
-15.81	-19.85	-6.53
-18.79	-10.03	-1.90
-20.25	-11.51	-1.33
-19.65	-16.18	-2.40
-12.03	-12.30	-4.05
-14.43	-13.27	-2.99
-15.81	-10.03	-1.81
-14.59	-21.03	-6.33
-17.77	-10.03	-2.15
-20.25	-10.49	-1.03
-15.89	-14.22	0.12
-14.59	-12.39	-3.10
-15.89	-14.14	-3.14
-15.89	-22.14	-5.95
-19.65	-13.78	-4.58
-14.59	-17.67	-3.42
-20.37	-11.12	0.68
-12.33	-13.78	-3.58
-12.33	-10.49	-0.70
-15.66	-12.28	-5.46
-14.59	-14.62	-3.11
-14.59	-22.14	-6.10
-19.65	-14.14	-2.99
-15.89	-20.69	-2.69
-16.43	-12.00	-4.32
-14.59	-14.14	-2.87
-15.89	-21.51	-6.81
-20.25	-18.79	-7.14
-20.25	-7.13	-2.76
-9.23	-7.13	0.77
-10.30	-19.85	-2.28
-20.25	-16.18	-3.64
-12.03	-13.78	-4.14
-14.59	-13.78	-4.55
-14.59	-11.40	-0.04
-8.48	-7.13	-3.64
-10.30	-17.67	-3.55
-11.02	-12.66	-3.16
-13.74	-8.36	-2.45
-9.23	-19.39	-6.57
-19.65	-22.31	-2.42
-14.32	-10.71	-2.18
-14.29	-11.12	-1.96
-16.43	-10.13	-1.75
-15.00	-12.30	-4.61
-14.43	-10.53	-2.61
-20.25	-21.26	-4.92
-17.91	-21.51	-6.69
-19.65	-9.98	-3.02
-20.25	-9.47	-2.59
-9.95	-8.50	-1.57
-9.95	-7.20	-2.21
-8.80	-9.94	-2.90
-14.32	-10.01	-1.65
-10.30	-12.97	-3.02
-14.43	-10.97	-1.80
-9.95	-10.03	-2.11
-20.25	-19.40	-7.13
-19.65	-20.35	-1.80
-17.91	-22.14	-2.90
-13.04	-10.35	-1.47
-15.77	-13.54	-2.37
-15.81	-10.70	-1.67
-10.30	-15.63	-3.72
-15.66	-10.43	-3.80
-19.65	-14.69	-2.28
-18.70	-22.14	-6.55
-19.65	-10.70	-1.56
-10.30	-15.63	-3.53
-15.66	-12.07	-5.53
-14.59	-12.18	-5.67
-15.81	-13.78	-4.07
-14.59	-20.35	-1.87
-19.65	-13.26	-3.85
-9.91	-9.59	-2.15
-9.95	-7.21	-3.11
-14.59	-4.98	-1.95
-14.43	-7.11	-2.16
-10.30	-12.78	-2.61
-15.81	-9.78	-2.37
-15.00	-10.03	-2.64
-18.79	-12.66	-2.73
-9.25	-13.98	-4.63
-13.74	-12.98	-2.93
-13.04	-10.03	-2.10
-18.79	-16.18	-1.85
-17.22	-10.43	-3.42
-13.74	-13.36	-4.70
-20.37	-6.40	-1.48
-14.59	-19.40	-7.31
-19.65	-10.67	-0.28
-14.59	-12.09	-1.63
-15.89	-10.03	-2.13
-18.79	-21.03	-5.72
-17.60	-12.78	-5.76
