BE_DFT (kcal/mol)	BE_ANI (kcal/mol)	BE_PM7 (kcal/mol)
-11.54	-9.68	-23.96
2.03	-1.43	-16.13
-5.25	-2.13	-16.02
-4.54	-1.46	-19.26
4.25	4.20	-13.33
4.80	5.38	-14.85
-1.34	-3.75	-18.14
-2.81	-3.91	-19.98
1.48	3.90	-16.96
-8.54	-9.96	-22.65
5.82	6.10	-14.32
-5.64	-3.78	-21.07
0.51	-3.29	-16.70
2.88	-1.17	-15.12
1.91	0.48	-15.25
-0.19	-0.06	-15.98
3.55	-1.35	-15.34
2.46	-1.27	-15.67
-5.72	-3.63	-20.92
4.33	0.09	-15.77
3.23	-0.57	-15.13
-2.46	1.06	-18.57
-2.71	-0.06	-17.04
-0.62	4.24	-18.67
4.92	4.23	-13.33
3.93	3.61	-14.39
-1.64	0.84	-18.24
3.40	-1.74	-15.23
-0.48	-3.25	-16.78
0.86	-2.78	-16.37
2.42	-2.24	-15.97
-13.11	-10.58	-24.13
2.08	-2.24	-16.03
3.38	4.17	-13.60
-5.39	-3.70	-21.00
2.69	-2.00	-16.10
-0.64	-3.52	-17.16
4.02	2.88	-14.46
-1.82	3.01	-17.43
-2.60	0.66	-17.35
4.07	3.47	-13.27
5.47	5.52	-14.71
3.24	2.98	-15.19
2.33	-1.81	-15.82
0.41	-3.74	-16.41
-11.72	-8.78	-23.86
-5.06	-2.97	-17.67
-0.95	-3.78	-17.11
5.58	6.90	-14.10
-2.29	0.45	-17.72
-4.91	-2.29	-18.08
-5.33	0.23	-19.39
6.03	3.77	-13.63
-8.14	-4.97	-19.64
-8.39	-5.01	-19.90
4.98	5.43	-10.69
-1.56	3.10	-18.25
-10.80	-10.16	-24.13
-3.55	-1.45	-17.20
1.64	4.45	-15.43
-2.21	1.76	-18.83
-6.95	-1.69	-20.74
-12.77	-11.36	-24.43
-1.79	-1.52	-17.63
-11.88	-10.77	-24.13
5.78	5.68	-10.61
-9.26	-9.22	-22.80
-11.83	-9.68	-24.10
-3.60	0.61	-16.13
4.18	3.26	-13.34
-7.57	-1.91	-21.12
-3.77	-2.81	-19.09
-1.45	-0.12	-17.31
-7.46	-3.98	-20.87
-1.15	2.10	-15.82
-8.27	-7.59	-22.88
-5.54	-0.61	-19.34
-4.05	0.31	-16.35
3.17	5.06	-16.50
-8.12	-5.36	-19.63
-0.38	3.76	-16.57
-9.52	-9.81	-22.95
-6.42	-5.56	-19.06
3.35	2.98	-13.88
-4.68	-2.84	-20.85
2.90	1.56	-14.46
3.38	2.82	-13.67
1.75	2.02	-15.03
-1.30	-0.21	-16.31
-0.59	1.07	-16.44
3.96	3.35	-15.26
-11.52	-8.88	-23.66
-5.99	-4.31	-19.47
2.81	2.46	-14.54
-10.36	-10.15	-23.20
2.88	-1.58	-15.30
-3.18	0.00	-15.39
-3.31	-4.12	-19.58
-3.01	-0.35	-18.79
-7.75	-3.58	-20.38
2.98	-1.90	-15.48
-2.08	3.65	-16.98
-8.56	-9.30	-22.33
2.66	-1.76	-15.64
-1.02	1.55	-15.61
5.67	6.41	-9.89
-2.94	-1.83	-16.83
-7.84	-3.98	-20.44
-10.23	-9.46	-22.61
-4.22	1.51	-20.08
-3.61	0.03	-18.50
4.92	5.31	-10.43
-5.31	-0.78	-18.61
5.64	3.82	-12.88
-6.79	-2.23	-21.11
2.33	2.20	-16.19
-4.68	0.05	-18.19
-3.71	1.31	-20.58
-10.51	-10.43	-22.61
-7.08	-3.76	-20.03
-2.79	0.56	-16.04
-4.07	1.66	-19.81
-7.04	-4.74	-19.99
-10.25	-9.59	-23.91
-13.10	-10.43	-24.26
4.11	3.94	-13.80
4.08	2.56	-13.46
5.98	6.10	-9.96
1.43	1.58	-15.13
-2.69	-3.90	-20.04
-5.34	0.05	-19.12
-6.03	-0.84	-19.66
1.12	2.16	-14.94
