BE_DFT (kcal/mol)	BE_ANI (kcal/mol)	BE_PM7 (kcal/mol)
-14.10	-14.14	-0.00
-14.10	-14.16	-7.78
-11.76	-14.14	-5.63
-17.00	-18.37	-11.83
-19.24	-21.32	-12.52
-17.00	-18.37	-11.46
-9.16	-8.18	-2.55
-14.10	-14.13	-7.75
-17.00	-18.37	-11.33
-17.00	-9.34	-4.11
-10.32	-19.19	-1.77
-14.10	-13.87	-7.34
-18.53	-18.27	-11.97
-17.00	-8.77	-3.83
-17.00	-18.37	-11.80
-17.00	-18.37	-11.47
-13.58	-14.33	-7.35
-18.48	-20.89	-11.58
-10.32	-19.19	-6.01
-17.00	-18.37	-11.72
-18.53	-17.48	-12.19
-18.53	-17.48	-11.88
-17.00	-18.37	-11.51
-14.10	-13.87	-7.72
-14.10	-14.13	-8.17
-17.00	-10.63	-4.86
-18.53	-18.27	-8.61
-14.10	-14.16	-7.84
-18.53	-18.27	-12.04
-18.53	-19.69	-12.06
-10.32	-18.37	-5.32
-17.00	-14.33	-4.85
-17.00	-9.34	-4.08
-13.58	-9.34	-4.11
-18.53	-9.01	-3.96
-14.10	-14.16	-7.87
-19.17	-23.69	-13.38
-14.72	-19.41	-11.01
-14.10	-14.16	-7.04
-13.58	-14.33	-4.82
-18.53	-17.48	-11.73
-14.10	-13.87	-6.82
-17.00	-18.37	-11.05
-10.32	-14.55	-5.66
-14.10	-14.84	-1.95
-10.32	-14.55	-5.96
-17.00	-9.15	-4.16
-18.53	-19.15	-12.18
-18.53	-19.69	-11.96
-17.00	-18.37	-11.48
-14.10	-13.87	-7.51
-18.53	-17.48	-12.07
-13.58	-13.50	-5.85
-14.10	-13.87	-6.92
-18.53	-18.27	-11.61
-18.53	-19.05	-11.40
-17.00	-18.37	-11.78
-14.72	-19.41	-10.74
-18.53	-18.27	-12.00
-14.52	-14.40	-6.00
-10.32	-19.19	0.09
-17.00	-10.00	-3.48
-11.76	-11.19	-4.03
-10.32	-11.67	-5.14
-17.00	-9.34	-4.70
-9.16	-8.61	-2.43
-18.48	-21.05	-13.44
-14.10	-13.87	-7.03
-17.00	-9.81	-3.87
-17.00	-18.37	-11.03
-19.17	-23.69	-12.87
-14.10	-14.16	-7.60
-18.53	-18.27	-12.12
-18.53	-18.27	-12.09
-18.53	-17.48	-12.24
-18.53	-17.48	-11.83
-18.53	-17.48	-12.13
-10.32	-10.10	-6.04
-17.00	-18.37	-11.56
-17.00	-18.37	-11.12
-10.32	-9.99	-5.63
-14.10	-13.87	-7.14
-13.58	-14.33	-7.03
-17.00	-9.33	-4.29
-10.32	-9.99	-5.66
-18.53	-9.78	-3.87
-14.72	-19.41	-10.60
-18.53	-17.48	-12.03
-17.00	-9.34	-4.10
-18.53	-18.27	-11.98
-14.72	-10.00	-4.19
-14.10	-13.87	-6.50
-14.72	-19.41	-10.45
-13.58	-14.33	-6.95
-17.00	-18.37	-11.48
-18.53	-19.15	-12.19
-17.00	-18.37	-11.73
-17.02	-19.21	-11.49
-19.17	-23.69	-12.87
-18.53	-18.27	-12.08
-9.26	-10.69	-5.14
-13.58	-13.97	-3.97
-10.32	-18.37	-6.20
-10.32	-18.37	-5.91
-14.10	-14.16	-2.33
-18.53	-19.05	-11.44
-17.00	-9.33	-5.07
-12.49	-14.90	-6.33
-18.53	-10.71	-4.15
-10.32	-10.28	-5.64
-18.53	-17.48	-11.98
-18.53	-18.27	-11.80
-8.15	-19.41	-4.80
-18.53	-19.94	-11.71
-18.53	-19.05	-11.30
-14.10	-13.87	-7.24
-13.58	-9.94	-3.76
-17.00	-10.00	-4.09
-17.00	-18.37	-11.06
-19.24	-21.32	-11.02
-10.32	-10.10	-6.09
-18.53	-9.34	-4.40
-14.10	-14.16	-7.36
-14.10	-14.13	-7.48
-10.32	-9.99	-6.21
-17.00	-10.00	-3.53
-17.00	-18.37	-11.54
-17.00	-18.37	-11.47
-17.00	-18.37	-11.48
-14.10	-13.87	-6.88
-17.00	-18.37	-11.52
-14.10	-10.76	-0.67
-14.10	-14.16	-7.75
-17.00	-9.81	-3.79
-18.53	-9.34	-4.26
-15.68	-19.00	-11.43
-18.53	-10.00	-3.86
-17.00	-9.29	-4.15
-9.66	-10.10	-5.77
-18.53	-19.05	-11.46
-18.53	-18.27	-12.18
-18.53	-19.05	-11.31
-10.32	-18.53	-0.95
-17.00	-19.00	-11.43
-14.42	-19.41	-10.65
-13.58	-9.27	-3.82
-19.17	-24.03	-11.27
-10.32	-10.28	-5.71
-17.00	-18.37	-11.54
-14.72	-9.77	-4.46
-13.58	-14.33	-8.20
-18.53	-18.27	-11.85
-18.53	-9.34	-3.99
-17.00	-11.12	-4.56
-13.58	-14.55	-5.88
-18.53	-19.05	-11.34
-19.17	-24.03	-11.66
-19.17	-9.46	-3.11
-18.53	-17.55	-11.93
-14.10	-14.16	-7.18
-17.00	-18.37	-11.50
-19.24	-21.32	-11.16
-15.92	-19.87	-10.54
-14.10	-14.16	-7.17
-14.10	-14.16	-7.18
-17.00	-18.37	-11.45
-14.10	-14.16	-7.76
-17.00	-18.52	-11.22
-14.72	-19.41	-10.59
-17.00	-18.37	-11.76
-18.53	-17.55	-12.07
-18.53	-18.27	-12.10
-17.00	-19.00	-11.06
-17.02	-19.87	-10.57
-18.53	-19.05	-11.33
-18.53	-18.27	-11.65
-14.10	-14.16	-7.91
-10.32	-18.37	-5.39
-17.00	-19.00	-10.84
-17.00	-9.34	-4.38
-17.00	-19.00	-11.70
-18.53	-18.27	-12.40
-17.00	-18.37	-11.51
-10.32	-10.76	-3.09
