BE_DFT (kcal/mol)	BE_ANI (kcal/mol)	BE_PM7 (kcal/mol)
2.92	2.48	-11.48
-9.79	-3.81	-25.81
-7.50	-5.93	-23.35
-12.27	-10.98	-29.16
-14.00	-12.33	-31.02
-12.27	-10.62	-29.22
-4.99	1.64	-21.21
-10.49	-4.35	-25.77
-12.47	-10.91	-28.98
-4.23	-3.72	-19.36
-1.86	4.61	-16.98
-9.41	-4.38	-25.55
-12.80	-10.69	-29.40
-2.77	-2.76	-19.07
-12.47	-11.09	-29.04
-12.69	-10.81	-29.32
-8.89	-5.01	-25.26
-10.53	-9.10	-29.20
-6.72	-3.34	-21.08
-12.09	-11.11	-29.12
-13.60	-9.88	-30.06
-14.40	-9.76	-29.85
-13.08	-10.90	-29.34
-3.62	-2.31	-19.39
-9.78	-3.97	-25.70
-9.58	-2.91	-25.83
-3.03	-2.17	-19.94
-9.95	-4.92	-25.48
-5.11	-2.03	-20.60
-10.18	-3.89	-25.92
-13.66	-10.10	-29.91
-12.53	-10.35	-29.37
-5.72	-3.36	-20.49
-4.55	-2.86	-20.33
-3.65	-3.56	-18.97
-2.54	-3.20	-19.32
-4.01	-4.13	-19.30
-3.89	-4.24	-19.25
-10.25	-3.77	-25.88
-12.89	-11.30	-30.26
-9.98	-10.48	-28.55
-9.16	-4.81	-25.32
-5.03	-3.67	-20.46
-13.23	-10.75	-29.64
-14.12	-9.74	-29.71
-8.64	-4.97	-25.03
-11.28	-10.23	-28.92
-5.84	-2.48	-20.97
-0.14	1.45	-18.16
-4.77	-2.88	-20.91
-4.44	-4.15	-19.28
-13.61	-10.01	-29.78
-12.72	-10.67	-29.35
-12.73	-10.75	-29.38
-9.36	-3.22	-25.30
-14.25	-10.25	-30.07
-3.70	-3.66	-20.73
-8.85	-4.67	-25.00
-13.61	-10.74	-29.38
-12.45	-10.88	-29.02
-12.24	-11.09	-29.13
-9.69	-10.53	-28.32
-13.82	-10.85	-29.77
-6.63	-4.20	-23.92
3.90	6.65	-15.63
-3.24	-5.20	-18.57
-2.12	-5.04	-19.23
-2.93	-2.42	-20.08
-3.36	-2.30	-19.97
-4.19	1.08	-21.13
-13.88	-11.50	-30.38
-9.22	-4.38	-25.20
-2.89	-3.83	-18.88
-11.80	-10.32	-28.93
-12.70	-10.77	-30.06
-9.98	-4.80	-25.55
