RE_DFT (kcal/mol)	RE_ANI (kcal/mol)	RE_PM7 (kcal/mol)
8.09	7.81	5.47
10.19	9.83	11.09
11.49	11.04	10.42
14.25	11.01	11.57
33.71	33.97	18.03
23.96	22.89	15.20
11.09	11.08	5.23
4.42	3.67	1.94
24.85	21.88	10.25
32.00	29.92	13.80
24.43	21.35	10.71
29.21	26.24	15.44
26.24	24.48	12.46
19.50	19.42	7.23
24.24	21.53	12.99
16.69	14.59	11.26
27.43	24.21	11.95
19.53	16.75	9.21
12.63	11.38	6.35
6.27	5.27	3.48
15.37	14.35	8.53
9.55	8.49	4.64
6.10	5.00	3.33
2.40	1.44	3.36
11.23	10.68	6.42
2.97	2.09	2.88
11.15	11.53	3.53
33.72	36.07	15.64
20.95	20.22	10.26
14.34	13.75	8.57
27.12	29.36	12.28
13.53	13.18	5.80
10.88	10.10	4.68
11.03	9.63	2.85
30.57	33.72	11.72
17.22	17.53	6.06
15.80	15.16	9.75
29.54	28.04	19.51
30.47	24.89	13.96
27.26	18.99	16.96
16.89	13.50	6.52
20.09	19.77	5.64
10.52	9.06	2.53
9.27	8.47	1.82
9.12	10.49	2.73
7.63	7.44	10.70
11.45	12.82	9.53
12.94	13.26	10.93
5.57	5.03	3.57
9.70	10.93	3.08
18.21	18.99	6.81
23.86	25.75	3.62
17.04	16.66	3.66
17.84	17.88	10.20
17.05	15.24	6.83
21.79	22.60	8.49
27.62	28.81	7.45
15.42	15.51	2.65
16.33	18.33	4.14
33.49	36.02	14.72
26.23	28.57	12.83
20.22	22.70	6.36
16.37	17.53	12.93
20.55	22.56	8.80
16.69	18.80	5.47
24.54	24.43	10.74
28.24	30.06	11.67
18.83	20.54	6.41
20.51	23.12	12.23
17.03	19.95	3.41
23.08	29.14	11.69
18.98	23.25	6.70
18.44	20.64	7.87
10.45	11.16	5.77
14.75	15.68	9.44
8.80	7.73	8.61
13.45	13.94	4.21
30.28	30.85	8.97
19.33	16.84	9.04
20.69	20.73	6.16
20.70	18.32	6.77
23.77	21.04	9.34
29.16	29.55	9.53
22.80	22.53	8.57
18.98	18.66	5.61
11.01	10.12	6.46
19.07	18.13	7.46
26.07	26.45	13.07
40.52	40.23	16.04
25.75	26.19	9.55
10.49	9.51	5.18
22.35	22.03	8.58
13.15	10.25	6.36
23.48	22.24	11.58
25.65	22.66	11.46
17.57	16.57	8.32
30.39	28.85	11.67
17.33	13.26	13.24
26.55	24.14	9.34
24.39	20.53	14.92
17.83	16.05	10.00
23.97	20.72	19.14
38.82	38.50	18.77
34.27	31.45	15.07
22.10	20.23	6.97
38.49	36.83	13.63
32.04	32.73	14.73
33.84	35.02	13.20
31.85	33.19	11.61
26.23	26.23	9.06
15.24	13.66	5.37
27.78	26.95	14.00
32.18	30.95	18.50
21.50	20.51	11.78
29.04	26.57	11.21
21.09	18.08	8.70
10.06	8.56	5.34
13.22	11.63	11.87
23.29	20.85	12.74
20.22	17.53	12.15
29.83	28.93	12.96
15.63	14.08	7.77
16.41	14.97	12.47
8.32	6.58	5.74
25.25	23.25	14.68
29.63	28.63	12.32
33.83	32.53	14.68
32.82	29.63	21.50
24.10	20.79	15.54
16.20	13.04	10.71
19.45	15.91	14.26
28.70	25.22	12.75
21.71	18.92	13.36
15.37	12.40	9.60
26.69	26.25	20.06
19.00	16.73	15.18
17.76	15.32	8.81
15.67	12.06	9.15
29.30	28.99	14.23
33.65	33.84	16.02
18.72	16.62	9.75
22.15	19.66	15.02
21.98	19.34	12.12
13.31	10.49	5.92
19.76	17.51	11.40
27.07	25.70	13.68
24.88	23.52	13.29
18.65	15.45	11.24
27.95	26.28	9.55
22.46	20.58	14.76
32.50	31.78	13.23
20.40	19.89	9.47
11.31	13.56	5.06
18.25	20.56	9.45
24.82	28.74	10.43
18.16	23.97	9.10
32.52	37.65	20.68
21.33	21.32	8.60
29.84	29.87	12.10
23.59	23.81	9.02
13.54	13.81	4.70
11.42	10.88	6.75
22.52	22.23	8.72
21.84	25.48	9.79
20.18	21.32	9.04
45.54	45.96	18.11
32.42	33.36	15.97
0.00	0.00	7.44
16.48	15.72	7.01
14.73	10.56	12.80
10.61	11.00	3.97
8.77	8.84	5.53
11.70	9.51	6.76
14.42	13.90	12.41
10.81	10.56	5.91
2.66	1.45	2.77
25.16	23.73	16.62
23.66	23.02	12.69
26.34	24.24	15.43
19.83	19.37	10.68
15.62	14.87	8.39
22.86	20.35	15.26
23.12	20.29	14.03
13.23	8.32	7.87
16.08	13.12	9.25
27.40	23.05	21.70
16.84	12.25	13.67
19.07	15.62	11.18
16.80	14.22	11.60
15.68	12.77	10.38
32.29	32.98	12.99
19.49	20.48	6.81
4.64	4.43	2.60
12.52	14.16	3.09
9.58	8.34	2.02
12.48	11.51	4.46
21.27	18.32	8.22
26.92	23.25	12.79
16.08	13.19	12.04
29.66	28.97	14.94
17.92	15.10	6.65
26.73	23.97	13.18
26.10	23.57	10.91
20.02	16.27	7.68
14.92	11.78	8.39
18.44	15.75	7.87
23.05	20.87	10.84
25.36	21.25	7.67
17.68	10.75	3.83
26.73	19.99	11.77
18.89	14.30	6.89
17.26	10.93	6.13
30.04	24.84	11.85
14.51	8.38	11.17
8.72	4.17	5.30
11.38	8.22	10.16
26.12	26.13	11.91
22.84	22.29	12.58
