RE_DFT (kcal/mol)	RE_ANI (kcal/mol)
8.11	7.81
9.99	9.83
10.78	11.04
13.81	11.01
34.51	33.97
25.31	22.89
11.88	11.08
5.30	3.67
25.63	21.88
33.47	29.92
24.41	21.35
29.88	26.24
26.77	24.48
19.94	19.42
24.76	21.53
17.26	14.59
27.26	24.21
19.87	16.75
12.51	11.38
6.43	5.27
14.82	14.35
9.73	8.49
6.63	5.00
1.99	1.44
10.56	10.68
1.96	2.09
10.77	11.53
33.72	36.07
20.49	20.22
14.25	13.75
28.70	29.36
13.31	13.18
11.00	10.10
10.64	9.63
32.70	33.72
17.74	17.53
15.52	15.16
28.81	28.04
32.10	24.89
27.14	18.99
16.24	13.50
20.21	19.77
10.14	9.06
7.82	8.47
8.48	10.49
6.98	7.44
11.31	12.82
12.52	13.26
4.46	5.03
9.87	10.93
17.43	18.99
24.22	25.75
16.32	16.66
18.33	17.88
15.92	15.24
21.88	22.60
27.94	28.81
14.82	15.51
16.81	18.33
35.22	36.02
27.08	28.57
20.52	22.70
15.80	17.53
21.16	22.56
16.59	18.80
24.40	24.43
28.15	30.06
18.79	20.54
19.50	23.12
17.27	19.95
24.20	29.14
19.50	23.25
18.25	20.64
9.69	11.16
13.98	15.68
8.41	7.73
12.77	13.94
30.91	30.85
18.43	16.84
19.67	20.73
19.82	18.32
22.91	21.04
28.52	29.55
23.03	22.53
19.04	18.66
10.29	10.12
18.59	18.13
26.07	26.45
41.95	40.23
25.29	26.19
9.22	9.51
22.01	22.03
12.08	10.25
24.72	22.24
25.42	22.66
17.38	16.57
30.27	28.85
16.47	13.26
27.23	24.14
23.25	20.53
17.34	16.05
22.34	20.72
38.87	38.50
34.51	31.45
20.86	20.23
37.34	36.83
29.58	32.73
31.44	35.02
30.91	33.19
25.23	26.23
14.25	13.66
27.27	26.95
30.62	30.95
20.89	20.51
29.79	26.57
21.70	18.08
9.27	8.56
12.66	11.63
23.82	20.85
20.77	17.53
31.58	28.93
16.47	14.08
16.88	14.97
7.94	6.58
24.64	23.25
30.84	28.63
35.25	32.53
32.62	29.63
24.11	20.79
15.38	13.04
18.43	15.91
29.27	25.22
22.30	18.92
15.07	12.40
28.04	26.25
18.59	16.73
18.05	15.32
15.44	12.06
31.29	28.99
35.55	33.84
18.20	16.62
20.89	19.66
21.52	19.34
12.04	10.49
19.14	17.51
28.22	25.70
24.51	23.52
17.46	15.45
27.77	26.28
22.16	20.58
32.61	31.78
19.99	19.89
10.87	13.56
18.40	20.56
25.76	28.74
17.88	23.97
31.38	37.65
20.56	21.32
29.85	29.87
23.00	23.81
11.76	13.81
10.14	10.88
21.00	22.23
21.19	25.48
18.58	21.32
46.72	45.96
31.90	33.36
0.00	0.00
17.67	15.72
15.37	10.56
11.37	11.00
9.16	8.84
11.87	9.51
14.10	13.90
11.66	10.56
2.45	1.45
25.56	23.73
24.59	23.02
25.05	24.24
20.44	19.37
16.00	14.87
22.57	20.35
23.86	20.29
12.48	8.32
15.90	13.12
28.34	23.05
16.48	12.25
18.54	15.62
16.39	14.22
15.10	12.77
33.42	32.98
20.23	20.48
4.40	4.43
12.81	14.16
9.43	8.34
12.25	11.51
20.50	18.32
27.02	23.25
15.14	13.19
30.65	28.97
17.26	15.10
26.22	23.97
27.08	23.57
20.38	16.27
14.62	11.78
18.74	15.75
22.35	20.87
24.83	21.25
17.33	10.75
27.04	19.99
19.08	14.30
16.44	10.93
30.48	24.84
13.43	8.38
7.98	4.17
10.32	8.22
25.61	26.13
22.73	22.29
24.05	21.08
17.39	15.75
9.14	5.84
33.89	31.12
19.11	16.56
28.45	25.78
19.99	16.33
11.67	10.02
17.70	15.01
25.39	23.51
28.58	25.47
26.39	23.09
29.77	28.85
29.43	26.24
25.53	22.18
22.93	20.95
28.07	25.98
18.27	15.56
19.04	17.56
19.35	17.43
8.48	6.44
9.25	8.47
14.35	11.18
12.97	10.65
26.04	23.06
36.18	33.94
19.49	16.47
32.70	30.51
20.26	18.60
18.97	17.58
20.02	18.32
12.64	9.49
12.55	10.71
21.53	22.60
8.11	6.21
16.08	13.99
18.86	17.80
34.65	32.13
22.08	20.76
35.32	33.86
32.25	29.87
40.55	38.28
30.96	27.85
25.12	24.88
30.77	31.97
32.27	32.42
13.88	15.32
20.75	18.93
11.65	11.68
31.59	29.55
29.75	29.87
24.30	27.49
29.36	28.28
26.55	26.51
31.58	31.15
24.97	26.32
12.50	14.19
26.92	28.99
25.12	25.71
25.89	22.54
22.53	23.41
34.08	35.04
38.28	42.19
41.53	42.48
28.58	30.64
38.51	42.51
31.96	34.24
31.61	33.57
24.37	25.63
26.16	29.12
47.83	49.25
42.02	42.21
24.35	24.19
29.66	30.81
39.64	40.59
31.41	34.01
20.76	21.69
17.60	19.10
14.96	16.22
15.38	17.67
28.21	29.93
26.37	27.66
13.74	15.96
21.42	19.82
21.30	23.41
20.69	20.57
46.64	48.46
37.09	37.05
31.60	30.03
21.82	20.90
26.83	28.11
5.97	7.02
13.40	13.22
21.80	21.67
12.78	11.52
19.29	18.92
22.07	19.16
30.67	27.64
22.60	21.26
34.04	32.42
12.27	11.20
14.82	13.50
11.07	10.81
21.63	20.47
30.13	31.12
14.16	16.67
14.49	15.02
20.15	20.32
17.97	18.53
22.28	23.33
20.23	19.81
21.12	19.43
22.88	22.20
23.81	20.65
23.69	21.49
22.34	22.77
18.20	16.36
15.41	16.57
18.19	18.34
13.39	12.93
11.78	9.63
7.34	6.69
11.37	10.12
7.06	7.55
4.38	5.04
5.87	6.23
14.55	15.48
27.52	29.92
29.84	29.56
20.70	22.13
21.80	21.53
20.83	21.87
34.25	34.71
33.78	33.72
35.71	34.73
21.48	20.68
10.54	9.19
19.39	18.33
20.41	20.68
11.76	13.03
30.14	28.03
13.70	12.79
18.15	16.30
16.49	16.35
17.34	17.23
27.47	25.33
24.40	23.73
15.53	14.78
31.14	30.29
28.80	28.01
16.42	15.97
15.71	15.62
34.87	35.10
26.17	27.09
17.56	16.37
18.29	16.69
15.28	14.43
18.82	17.75
19.93	17.03
17.33	16.86
21.14	20.07
10.82	9.11
6.54	5.77
24.78	24.17
27.82	26.11
21.58	18.57
15.79	12.34
25.17	22.47
15.65	11.44
15.61	12.93
6.97	4.58
20.26	17.57
14.19	11.27
14.14	13.83
21.44	17.26
24.70	20.20
25.47	22.41
23.99	20.25
28.26	23.63
30.28	24.41
19.65	12.81
19.46	14.19
23.36	20.13
12.20	11.18
19.16	17.46
22.70	21.13
23.85	21.50
12.92	11.11
18.59	16.47
18.72	15.65
14.30	11.69
10.84	5.96
20.18	15.18
15.42	10.13
26.39	21.82
