RE_DFT (kcal/mol)	RE_ANI (kcal/mol)	RE_PM7 (kcal/mol)
6.37	11.58	11.56
23.21	39.98	22.77
24.15	27.88	21.10
6.43	10.35	10.93
11.27	16.49	18.80
29.93	19.91	13.59
19.03	11.84	9.20
33.97	26.21	18.51
10.74	1.31	2.37
30.93	24.78	12.23
11.32	2.08	3.87
31.90	24.34	11.11
12.73	5.43	4.03
37.58	30.46	15.14
14.78	5.58	8.29
13.87	5.47	9.20
22.61	14.21	7.59
18.43	17.70	9.90
27.58	24.41	16.75
20.03	14.23	9.94
19.12	12.53	12.22
22.20	14.44	15.70
30.84	22.77	17.20
15.46	4.50	4.94
18.97	10.05	9.92
28.79	23.40	18.12
11.80	2.40	6.30
8.32	0.94	4.28
21.93	13.23	15.14
20.34	11.52	11.57
31.42	22.42	15.67
38.36	26.55	26.47
21.81	13.29	12.58
38.04	27.49	21.85
38.86	27.33	24.68
18.72	10.21	10.90
39.25	32.66	27.82
25.89	19.32	17.16
22.35	15.13	16.47
32.10	25.15	18.87
22.41	14.56	17.52
23.78	13.97	14.79
28.25	17.88	20.02
56.41	47.47	30.92
36.15	29.41	19.75
38.26	27.35	26.15
37.25	27.79	26.17
43.61	35.60	26.60
21.03	12.76	17.09
26.04	18.89	22.09
35.99	23.13	27.19
25.12	13.07	17.97
13.14	1.48	9.46
22.77	9.43	14.51
14.25	2.51	16.03
22.70	9.68	13.47
24.82	8.16	19.10
28.63	15.41	20.35
31.43	15.09	13.66
33.72	16.75	13.97
35.36	18.63	13.77
32.83	20.40	10.04
32.18	21.87	12.31
21.69	9.39	5.95
27.86	17.90	11.07
23.77	12.42	8.49
30.91	20.62	14.85
37.44	23.07	19.59
25.97	13.67	15.95
31.76	15.38	13.66
33.83	17.33	15.25
25.30	10.39	10.70
19.36	3.04	9.12
32.61	19.36	11.44
38.64	24.93	15.99
34.77	17.99	15.49
35.56	23.20	16.56
32.91	20.14	17.60
44.81	30.65	16.35
30.62	17.97	12.08
51.59	33.85	27.19
44.02	31.06	23.28
58.33	45.11	28.56
48.36	37.39	26.95
38.36	19.23	18.38
36.24	18.85	20.27
40.14	21.75	18.28
31.91	16.85	17.13
28.35	13.99	13.32
21.67	8.96	16.07
32.46	22.95	14.53
24.65	14.57	11.03
29.66	20.77	12.75
43.96	32.13	20.42
40.60	25.84	18.67
28.99	17.54	15.10
29.61	17.55	13.15
33.41	21.80	13.81
33.78	20.26	11.09
38.11	25.33	13.70
35.30	21.99	12.93
53.78	44.48	20.29
31.48	19.78	12.68
34.70	23.24	16.20
36.09	26.91	17.04
44.30	34.06	23.25
36.64	25.42	23.06
16.22	5.70	15.87
38.55	24.05	24.24
29.10	16.79	15.52
40.24	28.76	25.69
32.81	22.14	25.10
27.94	17.45	16.25
33.77	23.66	16.44
39.07	27.52	16.63
39.57	24.98	16.90
20.87	6.32	8.42
26.46	14.42	15.64
29.62	15.46	10.67
46.42	36.42	23.17
40.28	27.17	22.23
26.16	12.85	7.57
27.88	13.61	13.17
41.83	28.37	18.24
31.06	20.01	15.56
18.04	7.05	8.63
29.57	21.83	13.46
27.04	13.16	7.84
17.91	7.22	14.62
17.67	9.41	6.57
17.82	7.18	7.48
39.27	22.84	25.75
46.72	36.53	19.58
28.33	16.32	16.11
35.90	22.19	20.75
42.30	27.84	21.65
32.22	19.73	19.99
28.82	19.00	15.91
19.34	11.25	5.91
22.91	17.21	8.42
33.08	25.82	15.52
18.10	7.52	14.66
15.75	7.17	8.74
19.94	12.96	9.59
23.65	13.38	13.04
26.37	15.26	11.45
33.43	26.04	11.44
18.17	8.15	5.98
37.41	26.09	14.21
30.23	22.51	21.32
28.31	18.83	11.09
24.89	14.89	13.56
40.80	28.06	22.40
22.70	8.67	13.64
22.75	13.04	6.22
27.18	16.97	16.08
23.31	12.39	9.64
18.00	6.50	4.53
42.03	34.21	16.24
36.78	27.50	15.29
30.91	18.53	22.31
30.62	21.84	14.74
39.80	30.37	19.13
29.67	17.32	16.86
41.99	31.96	30.45
34.63	24.11	16.31
35.38	26.64	16.41
25.66	17.08	11.35
24.03	14.41	12.53
11.78	25.73	8.66
7.44	21.94	8.27
24.28	26.67	14.77
13.75	27.77	16.74
14.72	9.93	18.48
26.85	17.99	15.24
28.30	19.55	7.43
14.74	7.60	3.88
22.68	13.20	9.15
26.42	18.77	16.11
21.70	14.96	11.10
17.55	12.29	4.34
24.16	17.51	10.53
34.30	26.34	7.31
38.11	29.03	13.03
38.55	29.09	11.80
48.88	38.09	19.11
24.60	18.94	11.99
31.22	28.54	19.29
21.21	21.05	13.02
17.04	16.98	17.39
26.61	16.30	10.16
31.56	21.05	13.22
25.47	14.92	10.75
31.08	19.00	9.53
33.13	21.13	18.52
32.79	21.75	13.04
43.15	31.13	20.79
27.68	18.07	11.13
40.82	31.40	18.69
37.52	26.34	22.03
37.34	24.64	20.06
29.57	19.29	17.01
28.83	17.39	11.69
23.04	11.10	10.00
44.92	30.40	22.87
38.80	26.88	25.42
24.68	12.27	13.09
41.07	30.22	21.47
40.95	27.94	24.44
37.07	25.48	18.65
33.30	23.75	15.82
44.65	33.35	25.19
41.93	32.58	18.70
28.08	17.47	15.68
28.36	18.03	15.23
18.45	6.62	8.80
29.02	17.51	10.30
23.23	11.50	13.32
32.11	20.88	13.31
28.61	17.77	10.56
21.13	11.60	10.45
22.80	13.29	11.24
31.09	22.12	21.05
21.94	12.67	10.90
19.33	8.99	11.28
22.65	15.07	7.42
19.72	9.85	8.28
22.71	11.63	7.73
29.07	16.47	16.76
16.44	5.11	8.15
10.29	0.08	3.25
24.69	14.01	13.33
21.58	15.02	12.59
15.90	10.66	9.74
37.31	30.79	23.80
21.83	14.63	10.35
29.90	21.09	13.80
28.20	19.26	16.57
34.60	26.02	14.55
19.46	10.73	6.72
19.65	10.01	10.42
17.48	6.65	5.34
25.81	13.97	13.63
28.28	19.38	11.75
19.50	8.62	8.02
32.91	22.36	15.83
28.66	19.97	14.42
16.97	7.83	8.25
28.77	19.89	17.48
21.11	10.38	12.89
36.40	25.24	23.46
19.09	10.13	17.77
29.90	20.23	20.08
21.77	14.13	18.05
14.40	6.72	9.12
36.96	27.80	22.51
30.55	22.81	11.99
25.15	13.04	14.34
27.83	16.92	15.67
14.51	6.04	4.32
35.52	24.74	22.24
18.24	10.75	9.71
27.21	18.46	19.28
41.00	34.54	19.38
15.44	7.17	5.81
27.19	16.30	14.00
26.24	16.63	14.64
8.44	0.00	2.63
21.60	11.03	15.57
17.46	10.54	8.01
26.26	15.01	18.62
22.68	13.27	13.55
20.96	12.26	17.19
23.15	14.57	7.84
30.56	21.77	15.36
27.94	19.12	11.81
25.78	18.01	11.11
21.17	12.68	13.09
23.93	16.68	9.39
32.32	22.32	14.90
37.65	29.25	15.71
37.38	28.48	16.64
21.98	12.96	11.57
18.25	7.07	12.44
33.57	22.88	20.60
30.18	17.83	17.14
30.48	18.11	14.08
31.25	21.58	15.91
31.94	21.77	20.39
14.09	5.05	12.36
25.04	18.28	14.66
15.89	5.44	4.23
33.61	24.29	14.85
23.57	13.44	11.01
29.70	19.78	16.90
27.27	19.39	12.75
38.72	28.63	19.66
54.37	46.87	35.89
29.03	18.64	20.11
25.52	15.05	11.58
28.01	19.42	18.00
28.76	17.58	18.11
32.10	21.01	18.53
32.47	21.92	16.61
34.43	26.59	18.27
18.77	9.59	13.40
29.21	23.78	23.46
43.85	35.51	16.82
33.77	25.70	15.82
22.43	12.45	8.03
32.29	23.20	15.18
21.83	14.10	12.43
21.74	13.73	12.84
19.32	10.45	8.54
33.88	26.03	20.19
20.98	13.11	13.00
32.66	22.90	20.58
33.14	21.97	14.92
16.12	5.32	6.50
26.54	16.28	9.72
34.93	25.49	18.03
37.99	24.96	18.54
32.92	25.01	21.74
40.91	29.56	26.91
33.40	21.79	13.72
28.49	16.10	15.47
27.88	17.20	11.71
37.36	26.75	15.54
24.64	16.68	15.25
47.30	37.28	21.47
35.35	26.61	18.59
26.11	16.11	13.59
18.48	8.70	6.60
29.54	20.68	11.06
26.75	16.97	12.53
34.25	23.18	12.61
21.85	12.40	11.84
0.92	16.57	8.43
4.65	19.18	9.71
0.00	15.57	10.19
12.53	30.41	11.38
6.30	23.27	5.61
7.59	21.83	19.18
10.21	24.46	21.48
5.49	19.39	12.19
10.64	22.18	15.76
35.00	51.92	22.18
14.13	26.39	15.47
28.06	32.64	24.09
35.22	35.95	19.88
16.45	11.01	13.74
19.25	15.18	12.54
11.04	3.62	6.59
33.34	26.88	17.70
27.40	21.47	10.52
18.22	12.86	7.15
15.45	9.66	1.08
16.02	8.35	12.51
9.69	1.69	0.00
33.05	24.60	14.17
31.22	22.51	10.63
61.44	54.47	23.60
23.31	16.26	8.37
21.63	13.16	7.24
26.93	19.85	6.24
28.14	20.32	13.16
45.50	38.23	19.97
39.64	31.59	17.38
44.39	35.82	25.56
30.28	22.18	18.78
22.80	13.05	9.20
22.76	14.45	13.31
28.34	19.64	16.32
27.15	17.74	10.13
35.36	27.91	16.81
42.21	32.33	17.73
38.08	27.30	14.71
47.76	39.26	24.91
41.93	34.18	17.29
49.05	44.08	20.35
46.44	38.54	20.56
27.63	20.53	12.17
46.44	38.41	21.73
57.21	51.33	30.17
48.52	39.10	19.27
32.69	25.42	15.10
41.66	32.85	14.62
36.48	30.00	15.37
29.86	19.33	9.43
30.45	20.42	21.60
34.78	27.09	14.56
36.02	28.61	13.50
32.19	25.34	23.35
24.24	16.47	13.52
44.25	37.07	24.18
31.43	21.09	18.61
18.47	9.50	9.98
15.13	6.22	7.18
23.76	16.24	9.10
24.85	16.92	10.38
22.35	14.70	5.39
27.48	19.40	11.26
21.35	13.51	7.30
30.88	22.41	13.14
21.04	12.79	8.95
24.15	14.40	11.51
22.31	12.64	10.59
17.26	8.79	2.92
22.21	14.12	4.63
22.01	12.18	10.29
39.48	27.90	25.43
29.16	18.78	12.83
39.97	25.60	22.67
44.77	32.90	24.36
36.28	23.74	15.68
28.78	14.98	12.74
29.82	19.85	19.09
34.76	23.65	16.85
33.31	23.36	17.28
23.16	12.31	14.29
29.83	19.77	17.69
27.96	18.83	18.96
21.48	11.60	13.20
30.08	21.65	15.65
27.17	17.25	13.28
31.87	24.80	16.18
28.26	21.07	12.86
26.11	16.39	14.85
36.47	27.87	17.22
36.22	27.42	18.85
22.79	16.75	11.04
26.41	17.89	12.89
27.07	18.00	9.36
23.81	13.85	10.94
9.48	0.93	2.40
20.20	12.01	13.79
18.25	9.89	16.00
17.92	8.19	8.77
30.90	23.03	10.00
25.02	13.94	12.23
30.26	19.35	9.03
25.68	17.11	12.02
33.46	27.98	17.78
25.36	16.96	11.61
33.76	22.28	13.96
23.79	14.83	9.58
51.36	41.42	25.34
36.83	27.21	22.97
34.11	23.19	14.60
33.49	24.14	17.11
37.11	25.60	25.19
34.31	24.71	18.08
37.83	29.50	15.04
18.93	9.26	12.16
39.70	32.37	17.64
34.11	25.61	18.78
30.64	22.79	19.53
28.02	21.15	11.87
28.39	22.38	19.32
27.65	17.90	13.25
28.73	19.55	14.75
37.07	28.37	20.73
24.61	15.71	12.52
35.46	25.99	13.68
22.23	9.57	9.50
29.56	18.55	15.26
38.17	26.53	21.03
38.71	28.80	21.01
29.81	18.53	14.36
23.60	11.27	9.31
31.26	19.78	18.58
37.83	27.29	22.25
34.39	23.64	15.04
29.70	17.52	13.45
35.03	23.60	16.35
42.30	29.87	16.18
36.84	26.29	14.60
30.64	19.95	10.29
31.31	21.56	12.60
35.71	28.14	17.65
29.39	21.65	15.30
28.98	19.37	13.91
33.18	23.18	14.83
26.06	16.31	10.09
34.81	26.03	14.84
36.99	27.12	16.44
43.90	33.03	20.96
39.78	27.97	15.41
33.21	20.98	11.78
34.85	26.00	15.31
23.21	13.21	2.98
40.86	31.50	17.44
35.30	24.78	12.43
23.70	12.08	9.20
36.24	26.05	19.22
24.16	13.33	13.41
33.27	25.02	15.43
48.18	38.86	22.87
38.21	30.21	16.65
21.00	11.41	5.19
