RE_DFT (kcal/mol)	RE_ANI (kcal/mol)
7.25	11.58
25.06	39.98
25.24	27.88
7.66	10.35
10.71	16.49
29.37	19.91
18.12	11.84
34.04	26.21
9.28	1.31
30.71	24.78
10.13	2.08
31.93	24.34
12.39	5.43
37.20	30.46
13.55	5.58
12.54	5.47
22.35	14.21
17.89	17.70
27.29	24.41
19.38	14.23
18.80	12.53
21.42	14.44
30.84	22.77
14.40	4.50
18.26	10.05
28.30	23.40
10.57	2.40
7.52	0.94
21.61	13.23
19.59	11.52
31.95	22.42
38.77	26.55
21.99	13.29
38.25	27.49
40.14	27.33
19.33	10.21
39.33	32.66
26.12	19.32
22.47	15.13
32.88	25.15
22.32	14.56
23.90	13.97
28.10	17.88
58.23	47.47
36.91	29.41
38.16	27.35
37.17	27.79
43.90	35.60
21.42	12.76
26.27	18.89
36.32	23.13
25.06	13.07
12.55	1.48
22.30	9.43
13.53	2.51
22.54	9.68
24.39	8.16
27.77	15.41
30.57	15.09
33.09	16.75
34.23	18.63
32.33	20.40
32.01	21.87
20.90	9.39
26.93	17.90
22.69	12.42
30.22	20.62
36.78	23.07
24.28	13.67
29.98	15.38
32.60	17.33
24.37	10.39
17.99	3.04
32.05	19.36
37.44	24.93
33.42	17.99
33.97	23.20
31.76	20.14
43.25	30.65
29.03	17.97
50.74	33.85
42.29	31.06
57.91	45.11
48.35	37.39
36.32	19.23
34.96	18.85
39.78	21.75
31.28	16.85
27.94	13.99
20.31	8.96
30.85	22.95
23.38	14.57
29.11	20.77
44.40	32.13
39.43	25.84
28.65	17.54
28.08	17.55
33.00	21.80
32.56	20.26
36.92	25.33
34.02	21.99
53.21	44.48
30.81	19.78
33.88	23.24
35.18	26.91
43.40	34.06
35.57	25.42
15.05	5.70
37.30	24.05
28.39	16.79
40.17	28.76
31.30	22.14
26.88	17.45
33.77	23.66
38.99	27.52
38.55	24.98
19.54	6.32
25.56	14.42
29.36	15.46
46.79	36.42
39.66	27.17
25.75	12.85
27.14	13.61
41.56	28.37
29.89	20.01
17.02	7.05
29.31	21.83
26.64	13.16
16.27	7.22
16.31	9.41
16.43	7.18
38.65	22.84
47.10	36.53
27.38	16.32
34.86	22.19
41.66	27.84
31.64	19.73
27.49	19.00
19.13	11.25
21.75	17.21
32.42	25.82
17.49	7.52
14.98	7.17
19.06	12.96
22.40	13.38
25.73	15.26
33.08	26.04
16.33	8.15
37.08	26.09
28.68	22.51
27.30	18.83
23.79	14.89
39.43	28.06
21.20	8.67
20.89	13.04
25.79	16.97
21.79	12.39
16.47	6.50
41.96	34.21
36.00	27.50
29.62	18.53
29.71	21.84
39.21	30.37
27.75	17.32
39.77	31.96
32.78	24.11
34.86	26.64
25.03	17.08
