RE_DFT (kcal/mol)	RE_ANI (kcal/mol)	RE_PM7 (kcal/mol)
12.84	12.89	8.00
7.53	8.86	7.41
21.58	26.61	5.58
17.72	19.88	4.00
9.86	10.84	4.30
26.27	25.02	9.97
19.64	19.38	10.40
29.55	33.03	13.11
20.99	22.64	7.87
26.46	26.06	11.52
24.92	25.86	12.54
21.30	22.42	7.93
29.37	32.26	10.60
47.03	50.99	25.92
32.43	38.56	16.34
33.80	42.46	17.70
35.66	40.89	14.22
38.78	43.70	16.99
45.30	53.07	15.60
36.54	46.06	14.26
16.24	15.22	7.92
22.65	27.09	9.50
19.20	20.33	9.83
30.66	36.68	8.95
35.92	40.95	12.96
34.09	39.85	14.91
35.16	39.07	19.10
31.35	33.58	20.01
37.27	38.98	21.75
33.31	35.87	15.97
40.42	41.42	20.95
32.91	38.83	13.21
40.69	45.12	23.23
26.45	32.42	13.71
40.63	47.54	18.74
47.45	57.52	23.89
29.42	33.21	19.11
35.00	39.47	18.75
53.41	60.10	26.42
39.13	43.96	19.42
32.96	39.58	11.72
42.24	48.01	15.83
30.80	34.89	17.32
29.68	39.00	11.93
40.89	46.65	15.41
25.16	26.41	10.33
18.75	18.02	11.21
23.03	21.54	10.36
18.49	20.83	7.26
27.18	29.46	8.80
19.11	19.07	15.25
13.41	16.38	6.03
31.41	36.28	11.89
32.83	34.52	19.41
31.83	32.30	14.72
28.43	33.44	9.86
20.18	24.22	8.55
26.89	30.26	8.99
33.57	35.94	16.62
31.22	35.10	12.46
38.30	43.78	17.26
34.65	41.30	14.62
25.16	30.12	12.08
28.77	27.98	20.47
35.06	40.07	13.82
21.40	22.28	14.88
22.90	21.32	9.76
18.22	16.20	5.30
18.86	22.33	5.86
30.06	34.90	16.34
25.87	30.59	9.63
13.82	16.70	6.13
40.95	44.27	22.10
28.07	29.80	14.37
31.06	36.60	22.11
20.80	23.53	8.00
18.44	22.67	4.04
15.95	17.94	6.33
19.54	24.66	8.64
21.00	26.91	7.25
53.54	60.88	23.43
32.68	36.84	15.35
39.68	43.86	23.44
36.47	40.48	17.02
43.90	53.01	19.19
36.99	46.09	15.74
22.68	27.02	7.89
27.60	32.72	10.41
44.51	52.64	16.32
37.29	42.88	15.87
27.31	36.07	14.35
37.50	50.22	17.31
44.05	54.93	17.12
52.24	68.76	22.77
45.76	59.74	17.34
31.37	43.73	8.14
28.85	39.30	11.02
31.49	46.13	14.27
27.52	39.53	10.11
41.70	53.00	12.82
33.64	45.25	19.00
43.13	44.83	22.85
37.93	43.83	21.06
49.21	52.71	26.92
36.54	43.77	17.32
35.94	44.22	16.19
39.76	39.35	21.06
37.54	44.22	15.17
52.90	59.39	25.01
48.20	56.70	24.98
30.75	39.77	18.48
36.25	44.76	21.04
43.38	49.89	14.39
38.65	46.45	11.09
30.08	36.14	10.19
19.32	23.53	8.67
23.45	28.31	10.75
23.15	27.59	12.58
27.62	32.45	14.84
24.57	28.07	12.70
28.91	29.75	17.94
31.38	37.09	15.35
38.13	45.01	13.67
33.08	42.87	13.95
37.41	48.57	8.38
39.79	51.80	12.71
47.17	54.38	22.42
45.91	60.13	18.26
57.05	71.27	20.69
41.70	54.34	17.79
44.50	60.15	18.80
60.89	77.59	26.64
42.53	57.30	15.76
54.63	72.22	23.14
44.43	65.87	18.58
45.95	68.97	15.05
46.57	76.76	13.89
55.19	85.29	18.90
32.94	59.41	10.95
28.05	45.74	6.60
35.55	49.80	13.10
25.69	38.55	6.29
27.68	44.62	15.62
34.79	54.79	12.53
19.96	34.85	4.66
40.79	59.01	12.66
29.47	50.06	10.20
50.80	77.27	18.31
35.36	51.93	13.14
31.43	44.64	11.90
29.75	41.65	9.60
38.98	51.51	14.19
30.05	41.11	14.44
48.15	63.31	23.06
47.04	60.14	24.51
46.17	68.06	17.62
41.38	63.81	16.50
36.34	52.85	10.11
31.90	48.85	6.06
41.24	59.91	16.87
47.78	75.23	17.76
49.69	65.61	24.32
40.00	65.14	19.74
37.90	62.52	15.82
46.97	77.43	16.61
32.37	57.83	14.38
46.58	70.81	23.45
42.36	68.55	21.10
7.88	7.83	5.39
14.60	13.93	10.43
11.26	10.71	4.92
25.07	23.69	12.82
21.22	21.96	10.54
33.30	38.12	17.18
23.66	28.68	11.48
27.86	33.70	11.92
29.64	35.65	13.91
23.20	26.28	8.71
31.40	36.80	8.91
33.55	38.52	13.85
24.74	26.50	8.72
25.58	28.90	10.49
39.46	42.59	17.54
46.14	48.90	18.79
43.18	43.80	20.67
45.96	46.85	21.91
32.12	35.60	15.90
44.55	51.05	16.95
37.33	42.97	20.74
39.62	43.58	19.42
33.62	39.85	20.03
40.95	48.16	21.77
36.60	37.34	18.50
14.84	19.44	8.80
34.44	46.59	15.31
34.28	42.98	15.26
25.20	36.57	13.32
28.17	32.87	13.89
29.62	39.97	15.36
32.17	41.28	22.18
40.19	49.13	16.04
39.51	55.35	14.25
38.40	48.50	19.09
32.49	39.70	12.69
33.06	43.59	14.29
33.49	46.05	7.93
44.52	60.61	13.17
43.22	63.42	14.15
34.34	55.80	10.85
38.47	56.60	10.26
45.89	59.76	11.94
47.85	60.03	18.01
36.08	46.42	10.40
29.35	37.43	7.72
24.50	30.23	11.82
39.40	44.65	17.66
40.96	48.01	17.26
40.85	46.68	14.84
37.42	40.36	21.61
36.66	39.32	13.63
46.68	50.47	19.12
51.15	57.34	24.58
44.27	48.73	16.95
37.68	41.59	13.34
27.26	34.18	7.41
31.46	36.10	10.62
19.57	23.64	7.30
24.00	30.49	7.84
20.26	23.33	5.39
25.64	32.85	7.41
17.63	25.44	8.40
23.67	28.56	9.14
18.37	25.51	7.56
22.70	28.13	8.88
23.36	32.90	3.03
20.63	28.33	2.59
23.88	34.11	8.57
23.77	34.47	13.13
26.17	34.29	7.42
28.77	36.89	10.13
21.03	30.10	8.34
29.32	38.20	15.57
26.99	38.08	8.60
28.87	34.33	13.02
41.90	41.59	18.33
47.00	50.36	19.84
26.90	32.56	7.15
26.54	33.42	8.70
32.63	38.14	12.02
29.86	34.97	8.79
42.02	44.18	18.00
22.41	25.21	9.46
40.22	47.53	19.87
38.07	43.36	15.70
22.06	27.20	6.30
37.43	47.72	13.61
24.56	31.11	9.73
30.37	36.83	11.42
28.96	38.36	9.18
38.01	47.69	14.83
35.70	49.87	18.33
39.62	56.97	19.81
23.24	39.96	9.57
52.37	71.49	23.28
44.10	60.11	15.08
43.26	62.09	12.34
35.16	51.91	9.59
39.92	56.20	14.31
46.53	66.58	16.20
49.76	62.64	22.04
42.47	53.97	16.35
55.86	69.44	18.53
34.45	46.34	13.44
60.21	77.67	18.68
31.73	43.36	6.14
33.13	42.69	9.63
36.83	46.14	15.03
43.25	54.68	18.65
34.49	48.90	12.23
38.53	49.99	13.09
53.55	64.50	25.87
47.73	56.77	20.31
