RE_DFT (kcal/mol)	RE_ANI (kcal/mol)
13.91	12.89
8.39	8.86
23.50	26.61
18.30	19.88
10.47	10.84
26.58	25.02
20.05	19.38
30.32	33.03
21.53	22.64
27.26	26.06
26.04	25.86
21.75	22.42
29.62	32.26
48.31	50.99
33.65	38.56
34.52	42.46
36.23	40.89
40.63	43.70
46.80	53.07
38.51	46.06
16.52	15.22
24.50	27.09
19.98	20.33
32.09	36.68
36.47	40.95
35.82	39.85
35.62	39.07
30.72	33.58
37.54	38.98
33.39	35.87
40.02	41.42
33.82	38.83
41.69	45.12
26.90	32.42
42.72	47.54
49.77	57.52
29.82	33.21
35.59	39.47
55.16	60.10
41.37	43.96
34.72	39.58
43.61	48.01
31.56	34.89
32.34	39.00
42.45	46.65
25.89	26.41
19.65	18.02
23.97	21.54
19.40	20.83
28.23	29.46
20.71	19.07
14.36	16.38
34.31	36.28
34.59	34.52
33.25	32.30
31.38	33.44
21.68	24.22
28.56	30.26
35.71	35.94
33.62	35.10
40.44	43.78
37.11	41.30
26.69	30.12
28.82	27.98
37.45	40.07
22.65	22.28
23.76	21.32
18.87	16.20
19.93	22.33
31.59	34.90
27.47	30.59
14.58	16.70
41.94	44.27
27.36	29.80
32.04	36.60
21.11	23.53
18.56	22.67
15.83	17.94
20.73	24.66
22.01	26.91
54.70	60.88
33.13	36.84
39.91	43.86
35.76	40.48
45.54	53.01
38.68	46.09
22.18	27.02
27.71	32.72
46.11	52.64
36.51	42.88
27.04	36.07
38.11	50.22
44.72	54.93
53.22	68.76
45.33	59.74
31.12	43.73
29.09	39.30
32.26	46.13
28.48	39.53
41.80	53.00
33.71	45.25
42.42	44.83
37.93	43.83
48.34	52.71
36.37	43.77
35.20	44.22
39.26	39.35
38.91	44.22
52.41	59.39
49.88	56.70
31.70	39.77
37.86	44.76
44.45	49.89
40.29	46.45
30.65	36.14
19.58	23.53
24.32	28.31
24.06	27.59
28.51	32.45
25.11	28.07
28.23	29.75
32.07	37.09
38.64	45.01
32.82	42.87
37.51	48.57
39.80	51.80
47.46	54.38
46.82	60.13
57.48	71.27
42.09	54.34
44.83	60.15
61.30	77.59
41.78	57.30
54.98	72.22
44.80	65.87
45.80	68.97
47.46	76.76
55.99	85.29
33.28	59.41
27.55	45.74
35.02	49.80
25.87	38.55
28.55	44.62
35.59	54.79
20.61	34.85
41.10	59.01
29.65	50.06
52.83	77.27
35.79	51.93
30.75	44.64
29.97	41.65
38.22	51.51
28.48	41.11
49.08	63.31
48.94	60.14
47.07	68.06
41.31	63.81
36.10	52.85
31.72	48.85
41.26	59.91
47.56	75.23
48.70	65.61
40.50	65.14
38.57	62.52
48.38	77.43
33.23	57.83
46.82	70.81
42.33	68.55
7.36	7.83
14.90	13.93
11.87	10.71
24.73	23.69
21.84	21.96
35.50	38.12
25.44	28.68
27.88	33.70
32.01	35.65
23.75	26.28
31.27	36.80
33.99	38.52
24.32	26.50
24.50	28.90
39.44	42.59
44.82	48.90
41.69	43.80
45.83	46.85
32.21	35.60
45.19	51.05
37.06	42.97
38.94	43.58
33.65	39.85
41.79	48.16
35.43	37.34
14.60	19.44
36.69	46.59
35.55	42.98
25.97	36.57
27.69	32.87
30.43	39.97
31.98	41.28
39.48	49.13
40.13	55.35
38.71	48.50
33.65	39.70
33.96	43.59
33.76	46.05
