RE_DFT (kcal/mol)	RE_ANI (kcal/mol)	RE_PM7 (kcal/mol)
22.36	21.18	27.06
18.14	18.16	25.02
31.93	31.33	21.75
17.60	17.98	22.37
30.56	28.83	24.84
36.59	36.27	33.22
34.10	33.57	27.23
17.17	16.01	18.97
31.79	28.32	24.78
43.18	43.32	34.79
26.76	23.29	21.72
28.94	28.43	18.21
46.31	48.38	36.77
36.08	35.24	30.23
28.51	28.11	23.21
48.44	47.57	34.07
50.94	47.86	35.74
44.15	44.92	28.89
34.61	34.08	27.05
42.80	42.80	35.09
38.68	37.15	28.76
42.90	40.62	38.32
44.86	48.87	37.71
34.91	36.23	36.55
25.13	25.74	24.87
39.72	42.28	29.75
29.16	25.30	27.55
25.06	22.99	21.65
28.52	30.20	26.70
30.26	32.60	28.50
48.47	48.25	38.68
43.14	42.41	38.84
26.76	25.66	24.99
16.94	16.61	19.64
37.51	37.63	30.20
41.79	39.60	30.85
49.63	50.52	30.88
43.05	46.54	32.13
37.65	39.96	30.42
58.43	58.66	48.46
45.19	43.01	30.92
39.70	40.45	36.29
31.72	33.05	31.17
42.37	45.64	39.86
33.10	34.22	30.72
51.92	55.25	39.94
51.14	52.45	40.42
40.76	38.86	33.37
54.04	50.24	32.46
29.07	25.98	24.41
29.31	26.48	24.72
29.31	24.34	28.70
35.11	36.43	27.77
30.41	29.63	26.51
36.77	36.49	30.70
27.74	24.74	29.03
51.84	51.54	41.83
32.34	31.38	29.75
50.66	49.69	38.36
46.67	46.30	38.35
53.01	55.04	40.90
37.95	37.31	33.88
54.02	55.33	36.64
41.62	41.50	35.88
41.27	41.63	36.22
46.56	46.78	35.94
44.25	42.07	33.36
40.18	41.10	39.27
31.72	33.64	27.56
43.55	37.61	34.77
54.63	51.22	40.10
54.65	49.96	41.69
50.38	39.75	41.82
49.22	45.85	34.80
53.96	52.63	40.72
45.60	41.64	40.59
52.31	48.54	37.58
43.36	40.32	34.53
43.53	38.20	32.43
52.52	51.47	42.47
53.51	55.34	38.97
55.07	51.32	51.84
37.74	34.36	34.44
46.62	44.88	41.36
34.55	30.96	31.79
53.94	52.26	38.93
31.25	29.89	24.50
42.75	38.17	31.39
43.96	39.57	33.32
36.95	33.68	31.26
39.71	35.15	35.40
41.34	40.81	30.92
64.90	61.81	45.81
56.22	57.49	40.97
49.86	47.35	39.29
51.02	49.06	40.77
43.17	44.10	35.46
44.25	39.14	32.57
39.22	37.11	32.48
30.05	29.94	32.40
53.80	52.00	47.90
55.29	54.74	42.90
62.13	61.38	51.76
55.45	54.58	39.04
69.37	64.94	47.21
65.61	65.04	52.98
56.36	55.74	47.20
50.92	49.07	39.72
45.99	41.06	40.46
62.43	58.11	42.64
53.82	51.38	35.79
50.81	50.31	34.80
48.08	45.02	34.70
49.04	46.70	38.45
44.24	40.46	31.86
57.20	55.95	36.26
46.85	44.42	36.28
52.73	51.66	34.15
44.62	43.07	37.13
63.03	62.97	41.40
60.09	56.51	42.83
73.10	71.55	49.95
39.96	37.11	28.59
43.13	44.36	36.35
61.13	61.47	41.35
47.70	45.29	36.51
39.86	37.31	31.00
56.52	54.32	37.29
46.43	47.49	33.55
40.47	39.69	30.78
43.37	40.90	31.71
61.71	62.77	44.56
42.47	40.06	38.11
61.58	54.75	45.01
52.51	46.39	42.27
34.51	30.33	27.87
47.79	44.32	33.08
43.07	41.23	33.59
49.80	47.76	35.94
56.22	58.74	36.51
37.76	36.70	32.06
54.98	52.99	37.97
55.80	51.12	43.79
59.80	56.15	46.57
45.62	39.12	35.40
54.02	48.12	38.08
48.51	43.20	38.50
52.52	48.84	37.51
52.75	52.15	39.07
46.20	41.96	33.41
60.52	57.08	42.58
69.78	69.49	47.98
45.73	44.06	30.78
41.80	36.35	30.28
58.36	54.79	36.46
53.43	51.27	33.73
57.49	47.98	42.71
51.63	45.45	38.42
59.46	55.61	41.86
61.80	59.86	33.27
71.47	69.33	48.65
52.52	48.80	37.47
71.31	67.82	44.70
53.88	47.12	40.13
62.68	59.95	38.23
66.03	65.69	44.22
58.47	58.67	35.55
62.18	59.60	39.86
0.00	0.00	0.00
25.77	25.35	22.86
37.04	36.74	31.86
35.14	35.48	23.33
18.58	17.66	16.34
37.85	36.53	37.93
22.53	22.61	20.77
22.29	22.23	25.15
31.26	32.00	31.05
23.00	20.97	24.08
32.44	33.73	30.22
35.33	33.26	30.44
30.78	28.98	34.41
41.35	39.66	26.75
30.49	27.87	28.35
38.52	36.52	34.34
46.85	47.01	33.01
34.41	31.02	30.36
30.82	26.41	28.22
36.38	33.60	26.97
35.60	33.82	33.96
23.39	26.47	22.36
35.87	34.90	33.76
21.14	20.53	23.85
25.44	26.16	20.60
44.86	45.94	33.78
24.71	25.68	22.13
22.83	23.53	20.28
40.16	40.98	30.74
45.46	42.39	37.41
35.00	36.82	33.15
43.09	48.68	33.95
25.33	26.85	28.77
41.71	44.85	27.98
52.72	52.80	35.36
47.58	48.96	38.40
39.73	41.93	30.41
36.36	36.13	31.28
33.96	32.00	30.03
47.47	47.64	38.06
31.16	28.34	27.06
41.07	40.11	32.52
29.85	30.87	18.34
22.44	23.54	23.25
36.10	36.35	32.25
25.44	24.99	27.97
25.57	24.59	28.45
35.46	37.01	24.40
31.18	32.67	31.48
39.06	38.44	33.85
46.36	45.69	41.59
45.74	43.88	38.13
30.76	28.45	25.80
46.99	47.08	31.02
63.35	65.12	40.56
49.46	49.45	31.58
37.40	38.09	30.48
29.43	27.83	34.44
44.22	42.53	30.23
18.35	15.56	17.99
43.04	43.94	39.84
20.08	19.53	24.80
36.41	34.99	29.46
38.85	35.80	32.71
43.56	45.87	33.45
20.73	23.80	26.00
21.96	23.55	29.09
41.85	41.10	33.77
32.77	33.24	35.90
46.04	47.59	35.64
23.85	21.75	27.69
34.03	30.43	27.18
19.61	17.86	24.74
45.33	46.52	32.51
50.33	53.02	31.92
63.91	64.59	46.39
31.08	32.83	25.97
34.98	37.12	31.08
31.48	32.09	26.09
33.78	37.06	29.48
48.05	47.98	38.60
41.35	41.06	34.71
49.24	50.98	44.40
49.27	54.45	39.65
34.43	36.97	36.41
37.24	40.91	38.67
40.67	41.69	39.74
45.18	50.77	39.05
41.13	30.48	37.10
35.61	40.21	34.10
44.29	48.31	46.96
32.87	32.31	34.26
27.85	29.55	32.13
53.94	62.63	41.50
33.93	32.50	36.38
39.38	41.40	35.45
33.23	41.27	27.46
42.64	48.25	34.64
32.32	41.42	29.63
58.55	64.76	49.78
41.57	44.73	33.05
53.16	45.13	41.18
28.19	22.17	29.42
36.52	24.34	34.38
62.10	52.99	46.36
36.15	37.24	37.13
28.88	27.19	25.50
39.34	39.55	32.00
52.95	49.54	36.69
59.23	49.09	39.53
27.97	26.56	26.90
40.52	41.21	30.45
42.68	30.09	33.16
61.13	54.43	44.68
55.83	50.82	40.89
44.52	48.04	39.11
49.26	52.26	34.62
35.91	38.04	33.32
39.82	39.21	28.66
41.08	38.86	30.92
40.81	42.27	29.19
48.57	44.69	36.86
46.71	49.24	42.63
44.32	53.19	40.53
61.97	65.87	41.25
45.42	47.61	36.81
45.00	48.32	34.96
49.07	52.32	35.56
35.56	34.89	36.28
46.45	45.42	37.77
38.10	37.42	37.88
42.76	44.31	27.82
58.16	56.61	41.91
61.58	56.80	36.67
55.53	53.41	34.79
54.23	51.21	32.83
44.12	37.44	31.17
42.17	41.96	33.84
31.16	28.94	26.26
45.14	42.53	35.59
37.73	34.12	34.29
33.38	29.46	25.89
44.21	40.66	35.10
47.36	44.58	34.97
45.71	41.69	32.20
46.12	43.45	30.18
37.60	33.90	29.26
52.04	50.72	35.13
54.59	52.64	35.44
36.24	35.00	22.81
51.85	52.99	40.78
44.44	40.12	28.95
47.56	37.56	38.08
41.65	33.35	36.61
25.16	17.88	22.91
38.62	33.64	33.08
69.25	65.88	54.08
49.61	44.42	32.44
40.27	34.24	31.82
41.48	35.19	30.91
48.99	42.53	35.80
46.90	40.73	34.28
32.54	26.70	21.33
67.97	60.44	39.69
36.43	31.05	28.32
31.57	29.37	23.84
40.59	39.44	25.03
47.24	44.16	34.33
20.03	19.43	13.64
17.89	17.26	23.17
31.75	33.00	32.10
25.33	24.76	23.46
29.50	28.79	25.73
30.74	27.64	21.88
34.71	33.91	28.90
26.15	26.38	22.16
33.83	35.74	24.49
35.10	33.76	26.88
44.95	42.34	42.30
46.81	44.18	39.99
47.32	44.29	35.19
38.02	37.19	28.51
36.64	37.35	29.04
41.01	42.17	28.09
36.63	35.34	24.69
37.95	37.52	29.14
52.78	51.94	31.87
55.35	53.46	40.40
37.25	37.54	32.75
43.22	38.15	39.96
40.06	34.86	37.91
42.07	37.11	31.73
35.52	32.79	29.03
38.81	33.33	34.17
47.13	44.43	30.08
40.74	39.33	31.13
36.17	34.48	33.57
46.32	42.33	36.44
32.32	34.27	37.94
34.14	31.05	27.24
37.43	33.86	26.55
43.92	39.63	36.05
38.80	40.46	35.43
30.28	28.86	31.91
37.35	36.84	30.94
44.77	42.83	37.94
52.44	53.45	39.32
47.14	42.55	32.32
34.69	31.51	26.20
50.10	50.24	37.20
42.05	39.55	26.69
43.79	41.79	30.54
27.54	22.46	30.85
31.38	26.00	29.67
32.61	29.17	26.04
29.65	31.62	28.40
49.47	49.93	36.90
42.40	37.73	33.61
36.42	35.54	31.93
53.90	51.86	44.34
47.04	44.09	41.46
37.46	35.40	36.97
41.34	37.83	38.80
52.33	50.42	39.78
