RE_DFT (kcal/mol)	RE_ANI (kcal/mol)
22.31	21.18
18.45	18.16
32.38	31.33
17.80	17.98
30.20	28.83
37.56	36.27
34.68	33.57
17.40	16.01
32.08	28.32
44.07	43.32
26.18	23.29
28.27	28.43
45.61	48.38
36.39	35.24
28.80	28.11
49.55	47.57
50.98	47.86
44.97	44.92
34.90	34.08
42.46	42.80
38.97	37.15
43.28	40.62
47.81	48.87
35.87	36.23
26.62	25.74
41.46	42.28
28.63	25.30
25.22	22.99
29.99	30.20
31.01	32.60
49.46	48.25
44.22	42.41
27.03	25.66
17.26	16.61
37.83	37.63
42.20	39.60
50.64	50.52
44.88	46.54
39.21	39.96
59.10	58.66
45.18	43.01
39.49	40.45
32.81	33.05
42.70	45.64
32.85	34.22
52.28	55.25
53.00	52.45
41.74	38.86
54.68	50.24
30.97	25.98
30.17	26.48
29.34	24.34
37.13	36.43
31.20	29.63
36.54	36.49
27.17	24.74
52.14	51.54
32.15	31.38
50.37	49.69
46.77	46.30
54.13	55.04
38.23	37.31
55.13	55.33
41.22	41.50
41.54	41.63
46.57	46.78
44.08	42.07
40.69	41.10
33.17	33.64
44.97	37.61
54.66	51.22
53.95	49.96
48.91	39.75
49.36	45.85
53.66	52.63
45.36	41.64
51.74	48.54
42.92	40.32
42.70	38.20
51.53	51.47
53.37	55.34
53.88	51.32
37.45	34.36
47.44	44.88
34.47	30.96
55.56	52.26
32.07	29.89
42.30	38.17
43.16	39.57
36.16	33.68
38.89	35.15
41.03	40.81
64.66	61.81
56.21	57.49
48.99	47.35
51.50	49.06
43.94	44.10
43.14	39.14
39.15	37.11
29.91	29.94
52.84	52.00
56.34	54.74
62.11	61.38
56.26	54.58
69.44	64.94
67.79	65.04
57.99	55.74
50.78	49.07
44.77	41.06
61.40	58.11
54.26	51.38
51.93	50.31
48.53	45.02
50.13	46.70
43.78	40.46
56.90	55.95
46.52	44.42
53.53	51.66
45.38	43.07
64.79	62.97
61.36	56.51
75.49	71.55
39.01	37.11
43.98	44.36
62.29	61.47
48.91	45.29
40.40	37.31
58.12	54.32
47.56	47.49
41.29	39.69
44.72	40.90
64.46	62.77
43.14	40.06
62.82	54.75
52.55	46.39
34.93	30.33
48.94	44.32
44.11	41.23
50.75	47.76
58.96	58.74
38.13	36.70
56.15	52.99
56.21	51.12
61.12	56.15
45.44	39.12
54.71	48.12
48.30	43.20
51.97	48.84
53.07	52.15
46.15	41.96
60.11	57.08
70.95	69.49
45.94	44.06
39.99	36.35
58.66	54.79
54.20	51.27
56.36	47.98
51.18	45.45
60.36	55.61
62.81	59.86
74.09	69.33
52.66	48.80
71.67	67.82
53.73	47.12
63.79	59.95
67.14	65.69
60.09	58.67
63.05	59.60
0.00	0.00
25.74	25.35
37.20	36.74
35.61	35.48
18.92	17.66
38.89	36.53
23.23	22.61
22.36	22.23
32.04	32.00
22.29	20.97
33.82	33.73
37.38	33.26
31.39	28.98
42.70	39.66
29.59	27.87
38.29	36.52
45.95	47.01
33.63	31.02
29.42	26.41
35.64	33.60
34.69	33.82
24.40	26.47
35.70	34.90
21.73	20.53
25.81	26.16
45.48	45.94
25.07	25.68
23.75	23.53
41.24	40.98
45.90	42.39
35.54	36.82
44.97	48.68
25.63	26.85
43.56	44.85
53.70	52.80
48.75	48.96
40.51	41.93
37.23	36.13
35.24	32.00
48.18	47.64
31.21	28.34
41.01	40.11
30.58	30.87
22.64	23.54
36.29	36.35
26.02	24.99
