RE_DFT (kcal/mol)	RE_ANI (kcal/mol)	RE_PM7 (kcal/mol)
6.43	9.41	1.80
5.68	6.73	3.08
19.32	22.05	5.29
12.81	13.90	3.62
19.09	20.68	7.49
13.40	13.71	2.03
13.29	13.73	5.20
18.92	17.13	6.80
14.08	16.65	1.55
23.80	25.61	7.17
14.83	18.42	2.70
25.02	27.33	8.83
23.96	28.04	4.96
15.85	17.38	4.23
19.58	19.30	6.64
15.96	17.04	7.28
11.13	10.58	4.16
21.42	20.62	7.13
15.67	15.35	2.84
11.81	11.31	0.79
12.62	10.16	4.72
23.14	19.74	10.26
12.66	9.79	5.82
22.54	22.35	6.57
13.33	11.89	5.58
9.14	6.88	2.27
25.00	24.56	8.31
31.93	32.64	8.10
24.49	24.37	7.62
19.32	19.19	5.30
11.38	12.50	0.00
15.89	17.21	3.04
9.86	9.72	2.90
13.47	15.03	3.52
15.54	15.47	7.33
21.14	21.40	11.15
19.69	21.13	8.85
23.14	27.14	12.79
28.65	28.74	13.09
26.53	24.06	10.63
25.13	24.05	8.01
21.06	18.48	6.35
23.37	21.17	6.37
23.36	18.95	4.72
39.54	35.08	14.29
23.21	22.96	3.97
29.66	23.57	17.29
20.20	16.84	7.50
17.70	14.92	4.52
17.49	16.73	3.98
39.61	41.26	13.13
26.86	26.63	10.47
14.02	11.28	2.76
14.65	11.40	3.03
22.34	19.44	7.82
20.99	16.70	10.25
19.01	17.47	7.25
13.52	13.12	4.18
15.95	16.66	1.79
17.10	15.96	3.17
23.95	24.78	6.16
22.94	24.08	6.31
21.81	21.73	7.42
29.09	29.17	11.11
22.03	20.29	8.89
17.08	17.14	6.88
21.28	22.22	4.70
19.30	19.94	3.61
30.70	29.73	7.80
27.16	24.06	9.91
24.38	21.67	8.78
30.22	30.14	8.80
23.65	20.01	12.87
29.00	28.71	13.17
13.46	10.77	4.38
10.81	7.90	3.25
24.69	25.89	7.59
24.81	26.06	10.24
19.83	22.38	3.47
34.42	41.03	14.47
22.50	24.09	9.04
20.08	20.70	7.82
13.31	15.18	3.40
16.33	16.12	3.21
10.46	10.17	2.45
14.54	12.68	4.00
35.23	34.04	13.17
19.58	20.81	5.35
20.83	22.30	4.45
29.59	29.70	12.95
23.88	24.42	7.37
26.14	27.74	12.01
15.28	14.49	7.37
26.59	25.56	11.81
22.33	22.03	9.39
27.36	30.80	6.14
