RE_DFT (kcal/mol)	RE_ANI (kcal/mol)
7.98	9.41
6.88	6.73
22.35	22.05
15.32	13.90
21.97	20.68
14.23	13.71
14.18	13.73
19.63	17.13
16.63	16.65
25.74	25.61
17.54	18.42
27.47	27.33
28.25	28.04
18.17	17.38
20.65	19.30
18.07	17.04
11.84	10.58
23.66	20.62
17.53	15.35
13.06	11.31
13.57	10.16
23.23	19.74
12.08	9.79
24.23	22.35
13.36	11.89
8.65	6.88
26.03	24.56
34.05	32.64
25.21	24.37
19.43	19.19
12.09	12.50
17.18	17.21
9.13	9.72
14.46	15.03
15.31	15.47
20.70	21.40
20.36	21.13
24.97	27.14
28.07	28.74
25.09	24.06
25.19	24.05
19.27	18.48
22.04	21.17
21.37	18.95
39.16	35.08
23.65	22.96
29.07	23.57
19.01	16.84
15.00	14.92
17.79	16.73
40.62	41.26
28.90	26.63
13.72	11.28
15.28	11.40
23.82	19.44
22.62	16.70
19.96	17.47
14.30	13.12
16.79	16.66
16.62	15.96
25.09	24.78
23.82	24.08
22.39	21.73
30.34	29.17
23.08	20.29
17.97	17.14
22.95	22.22
20.50	19.94
32.62	29.73
27.67	24.06
25.15	21.67
32.63	30.14
24.92	20.01
30.96	28.71
14.94	10.77
12.54	7.90
27.35	25.89
26.82	26.06
22.57	22.38
37.96	41.03
24.52	24.09
21.18	20.70
14.65	15.18
16.39	16.12
10.54	10.17
13.75	12.68
35.61	34.04
20.61	20.81
21.59	22.30
29.97	29.70
24.47	24.42
27.25	27.74
14.40	14.49
25.69	25.56
22.13	22.03
30.19	30.80
20.30	21.21
18.20	17.97
16.89	17.36
7.13	7.83
9.30	8.67
16.39	16.77
16.05	15.15
18.43	19.62
16.77	17.13
13.13	12.94
14.99	14.76
13.42	13.86
10.06	9.68
14.34	13.81
14.13	14.46
31.05	32.25
18.62	20.34
11.54	11.63
22.78	25.02
33.04	33.77
17.95	19.15
21.03	22.36
11.96	12.98
32.76	34.92
20.48	20.28
35.62	35.66
24.30	24.65
14.63	14.48
21.70	20.76
27.23	27.00
26.99	26.99
20.55	20.44
16.51	17.34
26.31	25.39
27.13	27.00
29.96	28.36
17.03	13.06
24.59	19.36
23.52	18.66
30.43	24.99
26.04	21.44
11.43	7.47
26.53	23.93
16.77	13.88
22.28	20.77
23.64	21.68
14.33	13.28
28.26	26.55
19.16	18.93
31.97	31.10
19.01	18.16
17.39	15.81
28.28	25.74
31.52	27.99
25.91	22.67
20.09	14.93
14.02	9.86
13.85	10.12
20.20	13.32
33.26	26.38
32.99	24.73
32.02	22.06
26.28	18.02
34.57	26.05
28.40	20.37
34.65	25.14
49.69	42.38
25.09	19.01
18.72	12.67
21.39	16.47
16.87	10.70
22.15	16.95
1.82	3.30
8.96	10.66
12.76	13.29
21.00	20.52
11.70	11.74
15.99	16.69
10.58	11.25
7.99	8.40
20.21	21.49
24.16	25.85
31.71	33.14
23.47	24.51
20.40	20.87
24.29	25.67
18.73	19.10
24.37	25.97
12.63	13.94
29.49	30.44
25.62	27.60
9.84	10.03
17.56	18.55
32.72	34.10
34.07	34.33
25.89	26.30
27.04	26.97
31.48	28.77
17.47	15.94
30.07	28.42
31.72	31.88
41.38	39.60
23.06	22.07
17.37	16.43
23.17	21.29
18.32	16.35
31.23	32.36
27.97	29.78
19.80	20.69
15.98	15.90
19.05	19.12
22.24	21.92
12.50	14.78
13.82	14.63
9.13	10.34
12.04	13.68
16.95	17.91
11.04	11.16
8.98	9.68
8.38	9.82
23.75	25.20
20.38	21.96
32.19	31.28
30.27	29.45
41.45	40.73
42.91	41.15
34.84	32.30
29.44	26.35
28.55	26.19
18.36	15.37
17.53	15.79
21.83	19.08
20.50	18.26
22.78	20.42
8.72	5.80
25.08	22.40
35.21	34.63
16.50	14.25
16.45	14.38
13.48	10.66
20.15	18.27
21.31	18.43
14.88	12.49
19.11	17.67
18.45	16.87
22.61	21.25
22.32	19.31
21.52	17.15
19.90	17.24
14.87	12.36
29.43	28.20
17.53	15.10
22.82	21.13
24.92	21.90
27.19	21.24
21.93	17.29
28.50	23.48
25.77	23.65
27.12	22.99
16.08	12.58
24.30	20.80
35.16	32.29
26.54	23.78
23.28	22.08
18.73	17.26
24.25	22.46
28.45	28.68
19.20	18.77
19.14	18.59
12.95	12.01
15.14	13.77
11.74	10.01
22.94	22.35
11.42	11.23
12.29	11.57
11.58	9.68
16.62	13.52
16.74	13.82
18.49	15.32
15.89	12.82
20.58	16.69
37.16	34.57
22.06	19.60
10.10	7.13
24.53	23.65
17.11	14.41
26.08	24.36
17.72	15.44
13.03	12.38
16.18	14.90
14.30	12.15
25.14	24.04
11.90	11.09
10.92	9.34
23.72	21.53
24.88	22.74
23.34	20.60
17.60	15.67
27.65	24.48
33.35	29.49
28.69	23.98
21.58	16.95
16.12	12.55
11.05	7.32
15.52	14.00
24.46	22.03
31.42	30.66
25.70	21.24
23.51	18.57
20.62	16.02
15.66	11.71
18.66	15.52
29.23	25.93
10.00	6.80
12.48	9.91
19.51	17.45
23.46	22.14
15.35	13.22
8.39	7.37
17.37	15.39
10.69	7.92
7.65	5.10
20.38	18.11
8.46	6.61
17.32	14.26
9.52	6.83
11.57	9.51
10.03	6.35
14.87	10.96
21.06	17.46
22.58	19.38
21.76	17.11
18.30	13.97
13.54	10.56
17.70	13.37
14.08	10.50
20.72	16.12
23.16	18.75
7.29	2.63
13.49	10.33
27.19	25.09
0.00	0.00
5.49	5.77
16.04	16.29
16.28	15.47
12.07	10.13
8.04	6.43
20.34	18.58
15.05	13.89
17.31	17.07
17.10	17.73
18.88	17.85
19.48	17.18
30.97	29.10
14.54	13.61
22.06	19.77
13.75	12.01
14.87	12.99
15.42	13.60
16.69	15.26
7.58	5.86
19.73	18.69
12.63	12.39
29.62	31.27
20.25	20.08
17.64	17.36
19.30	18.18
13.42	11.71
19.90	18.53
26.72	25.24
27.66	24.11
12.21	10.64
29.30	26.37
21.91	19.21
26.79	23.96
13.88	12.74
23.62	22.95
16.37	17.61
28.76	30.24
36.84	37.26
18.82	19.82
27.35	27.05
16.25	16.98
25.21	27.38
29.15	30.62
14.18	15.04
25.53	24.08
9.91	9.55
12.02	12.32
13.93	14.88
20.58	21.78
18.87	19.78
22.26	22.68
19.27	20.70
9.95	9.90
23.68	21.99
18.06	17.27
20.53	20.22
19.17	17.42
19.07	19.12
22.83	22.90
23.19	21.16
18.62	17.36
17.15	16.38
23.58	21.22
17.57	16.16
26.67	27.49
16.19	17.14
21.55	21.95
27.09	25.30
41.18	38.98
21.57	18.86
36.62	34.74
20.43	19.55
25.33	20.88
32.43	28.45
34.23	30.47
20.22	15.90
19.93	16.71
12.48	11.02
11.81	7.99
22.55	17.01
23.06	18.67
22.34	17.08
27.90	23.33
19.12	13.60
17.84	14.17
19.48	15.19
20.62	18.55
24.36	22.34
17.45	13.73
24.77	20.82
9.33	6.02
17.25	14.59
14.91	12.00
19.09	14.69
19.34	15.75
17.87	15.26
21.22	19.18
11.85	9.25
16.85	15.02
49.93	47.09
17.73	13.85
17.84	12.78
12.47	9.41
17.93	14.53
22.04	17.34
15.75	11.88
20.63	15.88
17.50	13.73
36.17	33.73
8.75	5.37
10.37	8.61
20.04	18.84
26.69	24.97
18.61	16.52
31.58	28.69
33.10	30.68
22.82	19.70
20.53	18.63
28.69	25.53
